Date,Open,High,Low,Close,Volume,Adj Close
2016-05-12,13.00,13.38,12.06,12.20,17700,12.20
2016-05-11,13.57,14.48,12.62,12.83,36600,12.83
2016-05-10,17.200001,18.00,13.56,13.66,45700,13.66
2016-05-09,11.40,19.52,11.40,17.51,130600,17.51
2016-05-06,12.45,13.59,12.25,12.65,17000,12.65
2016-05-05,13.94,15.70,12.66,12.83,32600,12.83
2016-05-04,15.00,15.14,13.82,13.85,23000,13.85
2016-05-03,15.49,15.99,13.21,15.28,29600,15.28
2016-05-02,16.75,16.75,15.01,15.36,10900,15.36
2016-04-29,15.14,16.93,15.01,16.75,21500,16.75
2016-04-28,15.38,15.66,14.73,15.04,3200,15.04
2016-04-27,15.07,15.89,15.01,15.21,11200,15.21
2016-04-26,15.98,15.98,14.76,15.24,26700,15.24
2016-04-25,16.49,16.540001,15.06,15.53,23500,15.53
2016-04-22,16.59,17.120001,15.79,16.01,17300,16.01
2016-04-21,18.35,18.35,16.60,16.65,21900,16.65
2016-04-20,20.50,20.50,18.07,18.280001,16100,18.280001
2016-04-19,22.00,22.65,20.209999,20.40,52400,20.40
2016-04-18,19.52,22.809999,19.51,21.860001,51600,21.860001
2016-04-15,19.700001,20.59,19.42,19.889999,27700,19.889999
2016-04-14,19.76,20.33,19.41,19.860001,19500,19.860001
2016-04-13,20.01,20.469999,18.940001,19.370001,23300,19.370001
2016-04-12,20.549999,20.549999,18.120001,20.23,31900,20.23
2016-04-11,18.42,21.98,18.40,20.120001,51400,20.120001
2016-04-08,16.68,18.43,16.25,18.02,22500,18.02
2016-04-07,16.50,17.15,16.030001,16.139999,15600,16.139999
2016-04-06,14.45,16.91,14.25,16.59,21100,16.59
2016-04-05,14.26,14.40,12.84,14.15,58100,14.15
2016-04-04,13.13,15.20,13.01,14.28,20200,14.28
2016-04-01,11.80,13.09,11.80,12.76,16100,12.76
2016-03-31,11.90,11.99,11.46,11.80,34100,11.80
2016-03-30,12.00,12.05,11.64,11.86,28500,11.86
2016-03-29,12.10,12.22,11.40,11.77,54600,11.77
2016-03-28,12.90,12.92,11.70,12.03,25400,12.03
2016-03-24,13.25,13.38,12.75,12.90,14800,12.90
2016-03-23,14.00,14.00,13.64,13.64,9500,13.64
2016-03-22,13.95,14.15,13.52,13.98,16900,13.98
2016-03-21,14.35,14.40,13.95,14.09,12300,14.09
2016-03-18,13.94,14.50,13.42,14.25,49800,14.25
2016-03-17,13.41,14.29,13.41,13.75,13900,13.75
2016-03-16,13.00,13.44,13.00,13.37,16400,13.37
2016-03-15,13.30,13.71,13.14,13.33,12100,13.33
