Date,Open,High,Low,Close,Volume,Adj Close
2016-05-12,68.029999,68.139999,65.120003,65.57,25760400,65.57
2016-05-11,68.699997,69.419998,67.410004,67.599998,3733300,67.599998
2016-05-10,69.309998,69.870003,68.800003,69.330002,916300,69.330002
2016-05-09,68.970001,69.800003,68.760002,68.800003,1278600,68.800003
2016-05-06,68.68,69.019997,67.199997,68.510002,1190400,68.510002
2016-05-05,69.089996,70.169998,68.940002,69.139999,1249000,69.139999
2016-05-04,69.68,69.889999,68.900002,69.099998,1259800,69.099998
2016-05-03,70.50,70.900002,69.599998,70.410004,1408800,70.410004
2016-05-02,70.559998,71.00,70.279999,70.529999,1100200,70.529999
2016-04-29,71.559998,71.639999,70.120003,70.43,2065600,70.43
2016-04-28,73.50,73.580002,71.830002,72.010002,1032700,72.010002
2016-04-27,74.239998,75.089996,73.529999,73.580002,1356500,73.580002
2016-04-26,74.57,75.480003,73.080002,74.349998,1803100,74.349998
2016-04-25,76.669998,77.209999,74.400002,74.449997,2326600,74.449997
2016-04-22,77.699997,78.209999,75.730003,76.809998,2539700,76.809998
2016-04-21,81.43,82.089996,78.790001,79.379997,1502900,79.379997
2016-04-20,82.099998,82.68,81.529999,81.599998,1205200,81.599998
2016-04-19,82.360001,82.720001,81.339996,82.120003,932200,82.120003
2016-04-18,82.510002,82.75,81.00,82.239998,970400,82.239998
2016-04-15,81.849998,82.550003,81.330002,82.379997,1103900,82.379997
2016-04-14,82.139999,83.260002,81.82,81.860001,1153200,81.860001
2016-04-13,80.029999,82.00,79.730003,81.870003,1118500,81.870003
2016-04-12,78.879997,79.889999,78.75,79.25,977500,79.25
2016-04-11,79.779999,80.449997,78.470001,78.480003,1423100,78.480003
2016-04-08,78.709999,79.449997,78.160004,79.080002,910900,79.080002
2016-04-07,79.449997,79.660004,77.690002,78.279999,1479500,78.279999
2016-04-06,79.959999,80.099998,78.290001,79.639999,1659300,79.639999
2016-04-05,78.389999,81.470001,78.25,79.68,2760900,79.68
2016-04-04,78.220001,78.980003,77.010002,78.919998,6457100,78.919998
2016-04-01,81.260002,82.080002,80.43,82.010002,1019200,82.010002
2016-03-31,82.389999,83.089996,81.809998,82.019997,1097900,82.019997
2016-03-30,82.589996,83.00,82.00,82.330002,984700,82.330002
2016-03-29,81.540001,82.730003,81.18,82.349998,1195500,82.349998
2016-03-28,80.519997,82.900002,80.040001,81.489998,1261700,81.489998
2016-03-24,80.470001,80.589996,79.419998,80.589996,1159700,80.589996
2016-03-23,81.800003,82.040001,80.559998,81.120003,1276900,81.120003
2016-03-22,81.199997,82.480003,81.029999,82.029999,694000,82.029999
2016-03-21,82.279999,82.589996,81.910004,82.260002,1083200,82.260002
2016-03-18,80.699997,83.00,80.550003,82.029999,1946200,82.029999
2016-03-17,80.419998,81.449997,80.089996,80.980003,1109300,80.980003
2016-03-16,79.50,80.709999,79.419998,80.529999,817600,80.529999
2016-03-15,79.400002,80.080002,79.089996,79.989998,793900,79.989998
2016-03-14,80.239998,80.699997,79.199997,79.790001,1232600,79.790001
2016-03-11,77.830002,80.779999,77.620003,80.769997,1733900,80.769997
2016-03-10,77.389999,77.809998,75.150002,76.389999,1171700,76.389999
2016-03-09,76.970001,78.019997,76.059998,77.32,822200,77.32
2016-03-08,76.040001,77.360001,75.080002,76.400002,1542100,76.400002
2016-03-07,77.050003,77.769997,76.18,77.199997,1123200,77.199997
