Date,Open,High,Low,Close,Volume,Adj Close
2016-05-12,18.15,19.370001,18.00,19.040001,5628600,19.040001
2016-05-11,15.48,15.93,15.30,15.31,1040900,15.31
2016-05-10,14.74,15.55,14.50,15.44,3045300,15.44
2016-05-09,15.55,15.87,15.14,15.52,1536100,15.52
2016-05-06,15.94,15.94,15.39,15.60,838800,15.60
2016-05-05,16.48,16.50,16.02,16.059999,712500,16.059999
2016-05-04,16.549999,16.66,16.40,16.48,720600,16.48
2016-05-03,16.860001,17.00,16.58,16.629999,494200,16.629999
2016-05-02,16.77,17.01,16.67,16.99,691600,16.99
2016-04-29,16.82,16.90,16.610001,16.73,659400,16.73
2016-04-28,16.82,17.08,16.639999,16.799999,498900,16.799999
2016-04-27,16.790001,17.02,16.50,16.85,1192100,16.85
2016-04-26,16.25,16.860001,16.07,16.809999,2370600,16.809999
2016-04-25,16.07,16.57,15.89,16.23,3201100,16.23
2016-04-22,15.11,15.51,15.11,15.37,1028000,15.37
2016-04-21,15.43,15.62,15.04,15.14,1069300,15.14
2016-04-20,14.91,15.59,14.91,15.36,1220000,15.36
2016-04-19,15.01,15.18,14.75,14.89,1403700,14.89
2016-04-18,14.67,15.07,14.57,14.99,1813500,14.99
2016-04-15,15.10,15.26,14.68,14.71,1930700,14.71
2016-04-14,14.69,15.37,14.66,15.14,3250400,15.14
2016-04-13,14.00,14.70,13.90,14.64,8383500,14.64
2016-04-12,14.17,14.34,13.87,14.21,2348600,14.21
2016-04-11,14.84,14.84,14.07,14.20,2023400,14.20
2016-04-08,15.46,15.61,14.77,14.80,1145100,14.80
2016-04-07,15.64,15.92,15.29,15.39,514300,15.39
2016-04-06,15.95,16.00,15.10,15.83,1750100,15.83
2016-04-05,16.85,16.99,16.77,16.82,414700,16.82
2016-04-04,16.99,17.139999,16.940001,17.01,576800,17.01
2016-04-01,16.969999,17.10,16.719999,16.969999,479200,16.969999
2016-03-31,17.049999,17.129999,16.860001,17.10,618000,17.10
2016-03-30,17.15,17.299999,16.799999,17.059999,601100,17.059999
2016-03-29,16.48,17.280001,16.459999,17.129999,1034500,17.129999
2016-03-28,16.35,16.66,16.00,16.48,750900,16.48
2016-03-24,16.43,16.58,16.110001,16.32,868300,16.32
2016-03-23,16.68,17.09,16.50,16.549999,833400,16.549999
2016-03-22,16.17,16.92,16.10,16.709999,984500,16.709999
2016-03-21,16.190001,16.43,16.08,16.26,656200,16.26
2016-03-18,16.18,16.360001,15.98,16.25,983100,16.25
2016-03-17,15.47,16.129999,15.47,16.040001,835800,16.040001
2016-03-16,15.30,15.55,15.05,15.50,767100,15.50
2016-03-15,15.50,15.66,15.12,15.41,576900,15.41
2016-03-14,15.59,15.74,15.51,15.53,371900,15.53
2016-03-11,15.49,15.67,15.20,15.62,578900,15.62
2016-03-10,15.52,15.72,14.99,15.35,759800,15.35
2016-03-09,15.99,16.08,15.44,15.52,504200,15.52
2016-03-08,16.07,16.18,15.87,15.89,361000,15.89
2016-03-07,15.88,16.25,15.83,16.16,464400,16.16
2016-03-04,15.99,16.16,15.81,15.92,450300,15.92
2016-03-03,15.97,16.120001,15.86,15.95,423600,15.95
2016-03-02,15.69,16.030001,15.67,16.00,397700,16.00
2016-03-01,15.59,15.82,15.27,15.77,643600,15.77
2016-02-29,15.55,16.09,15.46,15.48,945000,15.48
2016-02-26,14.99,16.18,14.77,15.56,1461300,15.56
2016-02-25,16.309999,16.43,15.65,16.24,876200,16.24
2016-02-24,15.55,16.530001,15.53,16.25,546800,16.25
2016-02-23,15.77,15.94,15.66,15.78,306400,15.78
2016-02-22,15.68,16.00,15.59,15.87,440300,15.87
2016-02-19,15.56,15.69,15.39,15.53,565900,15.53
2016-02-18,15.75,15.91,15.56,15.57,521400,15.57
2016-02-17,15.62,15.87,15.58,15.72,860700,15.72
2016-02-16,15.47,15.70,15.35,15.50,761600,15.50
2016-02-12,14.81,15.52,14.40,15.34,945300,15.34
2016-02-11,14.50,14.94,14.36,14.70,596400,14.70
2016-02-10,14.96,15.29,14.66,14.72,1010600,14.72
2016-02-09,15.21,15.48,14.61,14.86,1149500,14.86
2016-02-08,14.97,14.97,14.35,14.79,615900,14.79
2016-02-05,15.78,15.92,15.03,15.21,1193500,15.21
2016-02-04,15.84,16.219999,15.51,15.89,542200,15.89
2016-02-03,15.98,16.290001,15.67,15.93,459200,15.93
2016-02-02,15.97,16.280001,15.69,15.90,1265300,15.90
2016-02-01,16.02,16.43,15.70,16.120001,345300,16.120001
2016-01-29,15.87,16.41,15.87,16.139999,486000,16.139999
2016-01-28,15.95,16.190001,15.66,15.81,449500,15.81
2016-01-27,16.00,16.129999,15.72,15.85,1254600,15.85
2016-01-26,16.01,16.309999,15.76,16.129999,582000,16.129999
2016-01-25,15.79,16.32,15.68,16.030001,976000,16.030001
2016-01-22,15.73,16.09,15.64,15.84,417300,15.84
