Date,Open,High,Low,Close,Volume,Adj Close
2016-05-12,0.22,0.24,0.19,0.21,47600,0.21
2016-05-11,0.23,0.24,0.22,0.23,61500,0.23
2016-05-10,0.22,0.25,0.22,0.24,42300,0.24
2016-05-09,0.22,0.24,0.22,0.22,12300,0.22
2016-05-06,0.25,0.25,0.23,0.24,19400,0.24
2016-05-05,0.24,0.24,0.24,0.24,000,0.24
2016-05-04,0.24,0.25,0.21,0.24,8900,0.24
2016-05-03,0.21,0.24,0.21,0.24,2800,0.24
2016-05-02,0.22,0.22,0.22,0.22,8700,0.22
2016-04-29,0.21,0.24,0.21,0.24,16800,0.24
2016-04-28,0.25,0.25,0.21,0.24,32300,0.24
2016-04-27,0.23,0.25,0.20,0.25,42800,0.25
2016-04-26,0.21,0.25,0.21,0.24,128700,0.24
2016-04-25,0.21,0.21,0.20,0.21,46900,0.21
2016-04-22,0.21,0.21,0.20,0.20,3400,0.20
2016-04-21,0.21,0.21,0.20,0.20,10200,0.20
2016-04-20,0.20,0.21,0.19,0.20,29600,0.20
2016-04-19,0.19,0.20,0.19,0.19,5800,0.19
2016-04-18,0.22,0.22,0.18,0.18,34200,0.18
2016-04-15,0.23,0.23,0.21,0.22,50000,0.22
2016-04-14,0.19,0.23,0.19,0.23,83800,0.23
2016-04-13,0.21,0.21,0.18,0.18,18300,0.18
2016-04-12,0.19,0.21,0.19,0.20,107300,0.20
2016-04-11,0.18,0.19,0.17,0.18,8400,0.18
2016-04-08,0.17,0.20,0.17,0.19,69600,0.19
2016-04-07,0.16,0.18,0.15,0.18,74200,0.18
2016-04-06,0.18,0.19,0.17,0.18,24700,0.18
2016-04-05,0.17,0.19,0.17,0.17,12100,0.17
2016-04-04,0.19,0.20,0.17,0.18,83900,0.18
2016-04-01,0.20,0.20,0.17,0.18,21400,0.18
2016-03-31,0.20,0.20,0.17,0.17,61100,0.17
2016-03-30,0.18,0.21,0.18,0.20,10100,0.20
2016-03-29,0.22,0.22,0.19,0.19,40600,0.19
2016-03-28,0.22,0.22,0.20,0.21,175700,0.21
2016-03-24,0.19,0.23,0.18,0.20,306900,0.20
2016-03-23,0.18,0.18,0.16,0.18,17400,0.18
2016-03-22,0.17,0.17,0.17,0.17,19000,0.17
2016-03-21,0.17,0.18,0.16,0.17,17400,0.17
2016-03-18,0.18,0.19,0.16,0.18,68800,0.18
2016-03-17,0.17,0.18,0.16,0.17,152700,0.17
2016-03-16,0.17,0.17,0.15,0.17,19100,0.17
2016-03-15,0.17,0.17,0.15,0.16,7700,0.16
2016-03-14,0.16,0.16,0.15,0.15,13100,0.15
2016-03-11,0.14,0.17,0.14,0.17,25800,0.17
2016-03-10,0.18,0.18,0.15,0.16,200300,0.16
2016-03-09,0.14,0.19,0.14,0.18,474700,0.18
2016-03-08,0.13,0.13,0.13,0.13,2600,0.13
2016-03-07,0.15,0.15,0.13,0.13,14800,0.13
2016-03-04,0.15,0.15,0.13,0.13,32600,0.13
2016-03-03,0.14,0.15,0.14,0.15,57100,0.15
2016-03-02,0.13,0.15,0.13,0.15,5300,0.15
2016-03-01,0.15,0.15,0.14,0.14,66300,0.14
2016-02-29,0.14,0.14,0.14,0.14,000,0.14
2016-02-26,0.14,0.14,0.14,0.14,3900,0.14
2016-02-25,0.14,0.15,0.14,0.15,83400,0.15
2016-02-24,0.14,0.14,0.13,0.14,5300,0.14
2016-02-23,0.14,0.14,0.13,0.14,12600,0.14
2016-02-22,0.13,0.14,0.13,0.14,5600,0.14
2016-02-19,0.13,0.13,0.13,0.13,32200,0.13
2016-02-18,0.13,0.13,0.13,0.13,9300,0.13
2016-02-17,0.13,0.13,0.13,0.13,200,0.13
2016-02-16,0.14,0.14,0.12,0.13,66900,0.13
2016-02-12,0.13,0.14,0.12,0.14,8300,0.14
2016-02-11,0.13,0.14,0.12,0.12,23200,0.12
2016-02-10,0.14,0.14,0.13,0.14,49000,0.14
2016-02-09,0.13,0.14,0.13,0.13,20000,0.13
2016-02-08,0.13,0.13,0.13,0.13,400,0.13
2016-02-05,0.14,0.14,0.13,0.14,8800,0.14
2016-02-04,0.13,0.14,0.13,0.14,1600,0.14
2016-02-03,0.12,0.14,0.12,0.14,80100,0.14
2016-02-02,0.13,0.13,0.12,0.12,62500,0.12
2016-02-01,0.13,0.14,0.13,0.13,159200,0.13
2016-01-29,0.15,0.15,0.13,0.14,53000,0.14
2016-01-28,0.14,0.15,0.13,0.15,22300,0.15
2016-01-27,0.15,0.15,0.14,0.15,38300,0.15
2016-01-26,0.15,0.15,0.15,0.15,22700,0.15
2016-01-25,0.15,0.15,0.14,0.14,41800,0.14
2016-01-22,0.14,0.14,0.13,0.14,16800,0.14
2016-01-21,0.16,0.16,0.13,0.14,25300,0.14
2016-01-20,0.14,0.14,0.13,0.14,57100,0.14
2016-01-19,0.16,0.16,0.13,0.14,17800,0.14
2016-01-15,0.15,0.15,0.13,0.14,88600,0.14
2016-01-14,0.14,0.16,0.14,0.16,69100,0.16
2016-01-13,0.16,0.16,0.14,0.14,2200,0.14
2016-01-12,0.15,0.15,0.15,0.15,50000,0.15
2016-01-11,0.16,0.16,0.14,0.15,54700,0.15
2016-01-08,0.16,0.16,0.15,0.16,3600,0.16
2016-01-07,0.16,0.17,0.14,0.14,27100,0.14
2016-01-06,0.15,0.16,0.14,0.16,101500,0.16
2016-01-05,0.16,0.16,0.15,0.16,19100,0.16
2016-01-04,0.15,0.17,0.13,0.16,98400,0.16
