Date,Open,High,Low,Close,Volume,Adj Close
2016-05-12,1.33,1.44,1.28,1.41,103192800,1.41
2016-05-11,1.37,1.49,1.29,1.34,123092500,1.34
2016-05-10,1.61,1.68,1.43,1.46,84698400,1.46
2016-05-09,1.55,1.64,1.53,1.62,94367000,1.62
2016-05-06,1.46,1.49,1.32,1.38,117672100,1.38
2016-05-05,1.64,1.66,1.52,1.57,87309500,1.57
2016-05-04,1.59,1.75,1.50,1.72,118689600,1.72
2016-05-03,1.36,1.53,1.36,1.49,102174600,1.49
2016-05-02,1.28,1.43,1.27,1.38,115107300,1.38
2016-04-29,1.53,1.54,1.31,1.32,116212500,1.32
2016-04-28,1.82,1.84,1.60,1.63,104457200,1.63
2016-04-27,1.91,2.05,1.86,1.87,75708700,1.87
2016-04-26,2.01,2.11,1.94,1.94,51684300,1.94
2016-04-25,2.01,2.11,1.97,2.08,51720300,2.08
2016-04-22,1.97,2.09,1.85,2.04,90478400,2.04
2016-04-21,1.84,1.99,1.82,1.89,97547200,1.89
2016-04-20,1.90,2.03,1.76,1.99,108866600,1.99
2016-04-19,1.96,2.00,1.84,1.90,84464600,1.90
2016-04-18,2.14,2.30,2.13,2.21,43804200,2.21
2016-04-15,2.37,2.47,2.18,2.21,59514300,2.21
2016-04-14,2.25,2.51,2.19,2.41,90077600,2.41
2016-04-13,2.16,2.25,2.08,2.22,74365100,2.22
2016-04-12,2.10,2.20,2.01,2.06,81528800,2.06
2016-04-11,2.39,2.41,2.08,2.11,93926200,2.11
2016-04-08,2.86,2.87,2.52,2.56,74124400,2.56
2016-04-07,2.92,2.95,2.80,2.84,74703100,2.84
2016-04-06,3.25,3.28,3.08,3.10,42186100,3.10
2016-04-05,3.17,3.44,3.10,3.12,47387000,3.12
2016-04-04,3.21,3.45,3.20,3.42,39776200,3.42
2016-04-01,3.49,3.55,3.16,3.16,54705300,3.16
2016-03-31,3.00,3.24,2.96,3.23,40213100,3.23
2016-03-30,3.12,3.29,3.01,3.11,58177500,3.11
2016-03-29,3.50,3.62,2.96,3.01,74814100,3.01
2016-03-28,3.50,3.79,3.47,3.60,30978000,3.60
2016-03-24,3.72,3.82,3.51,3.59,42486100,3.59
2016-03-23,3.51,3.86,3.46,3.84,77371300,3.84
2016-03-22,3.00,3.25,2.95,3.13,43895500,3.13
2016-03-21,3.18,3.27,3.05,3.14,47082300,3.14
2016-03-18,3.24,3.25,2.98,3.14,55194900,3.14
2016-03-17,2.97,3.24,2.79,3.18,94428100,3.18
2016-03-16,3.98,4.13,3.00,3.03,81661600,3.03
2016-03-15,4.06,4.23,3.79,3.80,55019200,3.80
2016-03-14,3.53,4.08,3.46,4.05,63100000,4.05
2016-03-11,3.48,3.67,3.31,3.60,49058400,3.60
2016-03-10,3.75,3.79,3.38,3.41,66470200,3.41
2016-03-09,4.25,4.35,3.79,3.92,81809400,3.92
2016-03-08,3.36,3.99,3.32,3.97,66597600,3.97
2016-03-07,3.73,3.77,3.29,3.49,70303500,3.49
2016-03-04,3.83,3.98,3.22,3.88,98449800,3.88
2016-03-03,4.29,4.32,3.70,3.85,59026900,3.85
2016-03-02,4.61,4.71,4.26,4.36,43686700,4.36
2016-03-01,4.17,4.75,4.12,4.72,42091700,4.72
2016-02-29,4.53,4.55,4.19,4.20,29731800,4.20
2016-02-26,4.55,4.76,4.30,4.71,46927900,4.71
2016-02-25,4.54,4.58,4.22,4.26,36022400,4.26
2016-02-24,4.22,4.68,3.92,4.46,61519500,4.46
2016-02-23,4.65,4.82,4.50,4.61,28524600,4.61
2016-02-22,5.49,5.54,4.78,4.89,40921800,4.89
2016-02-19,4.88,5.10,4.66,5.00,34367100,5.00
2016-02-18,5.97,6.04,4.66,4.68,43895000,4.68
2016-02-17,6.00,6.21,5.57,5.68,32188800,5.68
2016-02-16,5.80,6.36,5.47,6.33,44821800,6.33
2016-02-12,5.97,6.00,5.04,5.06,38755600,5.06
2016-02-11,5.52,6.20,5.15,5.47,55259800,5.47
2016-02-10,7.52,8.29,6.95,6.98,32867800,6.98
2016-02-09,6.37,7.47,6.28,7.44,37203300,7.44
2016-02-08,6.63,6.73,6.12,6.71,33920900,6.71
2016-02-05,9.29,9.57,7.17,7.22,28687300,7.22
2016-02-04,9.38,9.41,8.22,8.66,29844700,8.66
2016-02-03,12.80,12.83,10.30,10.32,25066900,10.32
2016-02-02,12.72,13.61,12.50,13.10,9861100,13.10
2016-02-01,13.23,13.28,12.30,12.34,11418000,12.34
2016-01-29,14.80,15.00,13.50,13.59,8918800,13.59
2016-01-28,14.61,15.00,13.72,14.56,10113100,14.56
2016-01-27,14.75,15.18,13.63,13.67,10966900,13.67
2016-01-26,16.040001,16.049999,14.30,14.47,10079500,14.47
2016-01-25,17.17,17.450001,16.48,16.639999,6528600,16.639999
2016-01-22,19.200001,19.469999,17.41,18.049999,6498200,18.049999
2016-01-21,19.50,20.530001,18.23,18.59,8369900,18.59
2016-01-20,18.969999,20.440001,18.60,18.620001,7187900,18.620001
2016-01-19,17.629999,20.959999,17.459999,20.450001,6459500,20.450001
2016-01-15,16.049999,18.200001,16.00,18.07,4843600,18.07
2016-01-14,16.84,18.389999,16.299999,17.85,8066900,17.85
2016-01-13,16.459999,17.120001,15.54,16.209999,7678900,16.209999
2016-01-12,15.70,17.00,15.66,16.15,9477100,16.15
2016-01-11,13.41,15.50,13.28,15.17,10520700,15.17
