Date,Open,High,Low,Close,Volume,Adj Close
2016-05-12,3.80,4.14,3.74,4.11,322200,4.11
2016-05-11,3.33,3.84,3.16,3.74,343500,3.74
2016-05-10,3.42,3.42,3.00,3.37,615600,3.37
2016-05-09,3.76,3.83,3.52,3.53,318200,3.53
2016-05-06,3.80,4.17,3.77,3.82,339000,3.82
2016-05-05,4.04,4.25,3.76,3.82,452500,3.82
2016-05-04,4.05,4.29,3.76,3.80,490300,3.80
2016-05-03,4.05,4.15,4.00,4.05,331300,4.05
2016-05-02,4.68,4.68,4.15,4.23,384900,4.23
2016-04-29,4.88,5.03,4.51,4.65,416500,4.65
2016-04-28,4.88,5.20,4.81,4.85,474500,4.85
2016-04-27,4.92,5.59,4.81,4.96,970300,4.96
2016-04-26,5.25,5.31,5.08,5.23,162600,5.23
2016-04-25,5.45,5.46,5.00,5.16,344800,5.16
2016-04-22,5.57,5.81,5.25,5.44,700000,5.44
2016-04-21,5.34,5.75,5.28,5.48,606400,5.48
2016-04-20,5.28,5.58,5.16,5.35,508500,5.35
2016-04-19,5.27,5.36,5.01,5.30,418700,5.30
2016-04-18,4.86,5.28,4.85,5.02,362600,5.02
2016-04-15,5.08,5.43,5.02,5.26,239500,5.26
2016-04-14,5.21,5.47,5.05,5.12,272900,5.12
2016-04-13,5.95,5.95,5.19,5.25,830800,5.25
2016-04-12,5.10,5.80,4.94,5.77,1578600,5.77
2016-04-11,5.16,5.25,4.80,4.94,212300,4.94
2016-04-08,5.00,5.21,4.75,4.98,505600,4.98
2016-04-07,4.90,5.00,4.61,4.69,236900,4.69
2016-04-06,4.65,5.00,4.58,4.93,420300,4.93
2016-04-05,4.61,4.69,4.26,4.57,174100,4.57
2016-04-04,4.84,5.09,4.60,4.62,242700,4.62
2016-04-01,4.73,4.96,4.71,4.84,171000,4.84
2016-03-31,4.86,5.05,4.78,4.97,206400,4.97
2016-03-30,5.00,5.29,4.83,4.89,339300,4.89
2016-03-29,4.60,4.94,4.40,4.91,269200,4.91
2016-03-28,4.93,4.93,4.58,4.66,174100,4.66
2016-03-24,4.66,4.92,4.40,4.82,299400,4.82
2016-03-23,4.98,5.06,4.62,4.70,410200,4.70
2016-03-22,5.21,5.25,4.81,5.14,686000,5.14
2016-03-21,5.47,5.73,5.12,5.26,704300,5.26
2016-03-18,6.30,6.51,5.51,5.64,1250600,5.64
2016-03-17,5.40,6.25,5.40,6.14,1897400,6.14
2016-03-16,4.99,5.47,4.99,5.22,252900,5.22
2016-03-15,5.37,5.49,4.91,4.97,475500,4.97
2016-03-14,5.52,5.76,5.20,5.62,372000,5.62
2016-03-11,5.97,6.30,5.52,5.66,645700,5.66
2016-03-10,6.06,6.06,5.40,5.74,838900,5.74
2016-03-09,6.16,6.24,5.76,6.05,530600,6.05
2016-03-08,6.28,6.63,5.55,5.78,1316700,5.78
2016-03-07,5.16,6.20,5.05,6.17,1638100,6.17
2016-03-04,4.45,5.66,4.40,5.08,2113300,5.08
2016-03-03,3.59,4.56,3.56,4.37,1228800,4.37
2016-03-02,3.27,3.70,3.27,3.63,495100,3.63
2016-03-01,3.44,3.60,3.16,3.27,387900,3.27
2016-02-29,3.17,3.57,3.16,3.47,292200,3.47
2016-02-26,3.15,3.56,3.05,3.29,380300,3.29
2016-02-25,3.25,3.34,2.92,3.05,439700,3.05
2016-02-24,3.58,3.58,3.27,3.35,296800,3.35
2016-02-23,3.92,3.97,3.60,3.72,207600,3.72
2016-02-22,4.04,4.20,3.90,3.92,240400,3.92
2016-02-19,4.10,4.10,3.71,3.80,307600,3.80
2016-02-18,4.21,4.29,3.93,4.14,229800,4.14
2016-02-17,3.77,4.24,3.77,4.11,420200,4.11
2016-02-16,3.59,3.75,3.36,3.64,389100,3.64
2016-02-12,3.42,3.54,3.30,3.50,274300,3.50
2016-02-11,3.15,3.24,2.91,3.20,337900,3.20
2016-02-10,3.06,3.40,2.98,3.29,392800,3.29
2016-02-09,3.30,3.42,2.95,3.00,451900,3.00
2016-02-08,3.98,3.98,3.22,3.28,426100,3.28
2016-02-05,4.43,4.64,4.00,4.08,317300,4.08
2016-02-04,4.15,4.50,4.03,4.44,485400,4.44
2016-02-03,3.90,4.08,3.36,4.05,536000,4.05
2016-02-02,3.58,3.90,3.57,3.74,248700,3.74
2016-02-01,3.84,3.92,3.52,3.91,361700,3.91
2016-01-29,3.36,3.97,3.32,3.97,731900,3.97
2016-01-28,3.21,3.39,3.05,3.26,690700,3.26
2016-01-27,2.87,3.27,2.71,2.97,434900,2.97
2016-01-26,2.93,2.98,2.65,2.86,356400,2.86
2016-01-25,2.92,3.35,2.61,2.63,466400,2.63
2016-01-22,3.10,3.48,2.98,3.09,949300,3.09
2016-01-21,2.25,2.83,2.16,2.76,560200,2.76
2016-01-20,2.95,2.96,1.97,2.25,1756700,2.25
2016-01-19,3.12,3.14,3.00,3.03,217000,3.03
2016-01-15,3.00,3.11,2.91,3.08,373000,3.08
2016-01-14,3.34,3.59,3.17,3.29,451500,3.29
2016-01-13,3.08,3.42,3.06,3.35,628800,3.35
2016-01-12,3.15,3.25,2.77,2.98,543000,2.98
2016-01-11,3.48,3.55,2.85,3.08,449900,3.08
2016-01-08,3.91,3.92,3.45,3.47,427900,3.47
2016-01-07,3.90,4.07,3.80,3.82,351200,3.82
2016-01-06,3.94,4.14,3.85,4.03,317700,4.03
2016-01-05,4.38,4.38,4.01,4.10,337400,4.10
2016-01-04,4.62,4.95,4.40,4.43,373600,4.43
