Date,Open,High,Low,Close,Volume,Adj Close
2016-05-12,0.38,0.40,0.27,0.31,73300,0.31
2016-05-11,0.26,0.38,0.26,0.36,23400,0.36
2016-05-10,0.35,0.36,0.27,0.33,37600,0.33
2016-05-09,0.25,0.43,0.25,0.36,38900,0.36
2016-05-06,0.28,0.28,0.26,0.26,29400,0.26
2016-05-05,0.30,0.31,0.27,0.29,52400,0.29
2016-05-04,0.32,0.32,0.25,0.27,55300,0.27
2016-05-03,0.36,0.38,0.31,0.32,18400,0.32
2016-05-02,0.37,0.37,0.33,0.33,10700,0.33
2016-04-29,0.39,0.39,0.35,0.35,39900,0.35
2016-04-28,0.40,0.42,0.34,0.34,98000,0.34
2016-04-27,0.33,0.41,0.32,0.35,134300,0.35
2016-04-26,0.32,0.32,0.30,0.30,7600,0.30
2016-04-25,0.30,0.31,0.29,0.30,3800,0.30
2016-04-22,0.33,0.33,0.28,0.29,44400,0.29
2016-04-21,0.36,0.36,0.33,0.33,16600,0.33
2016-04-20,0.31,0.34,0.31,0.33,73800,0.33
2016-04-19,0.28,0.39,0.28,0.37,82900,0.37
2016-04-18,0.28,0.29,0.26,0.27,11600,0.27
2016-04-15,0.26,0.28,0.26,0.27,23200,0.27
2016-04-14,0.28,0.28,0.26,0.26,8800,0.26
2016-04-13,0.32,0.33,0.25,0.26,68800,0.26
2016-04-12,0.29,0.35,0.29,0.32,99800,0.32
2016-04-11,0.32,0.32,0.27,0.27,15000,0.27
2016-04-08,0.27,0.32,0.24,0.32,111700,0.32
2016-04-07,0.25,0.26,0.24,0.25,3800,0.25
2016-04-06,0.22,0.25,0.22,0.25,1700,0.25
2016-04-05,0.22,0.23,0.22,0.23,6300,0.23
2016-04-04,0.25,0.25,0.22,0.24,25300,0.24
2016-04-01,0.26,0.26,0.22,0.23,31100,0.23
2016-03-31,0.24,0.25,0.24,0.25,200,0.25
2016-03-30,0.24,0.26,0.24,0.26,500,0.26
2016-03-29,0.26,0.28,0.23,0.25,9900,0.25
2016-03-28,0.24,0.26,0.24,0.26,1400,0.26
2016-03-24,0.28,0.28,0.24,0.25,63900,0.25
2016-03-23,0.27,0.27,0.25,0.25,9200,0.25
2016-03-22,0.30,0.30,0.25,0.25,35900,0.25
2016-03-21,0.32,0.34,0.28,0.28,6400,0.28
2016-03-18,0.26,0.31,0.25,0.31,54600,0.31
2016-03-17,0.29,0.29,0.22,0.25,29600,0.25
2016-03-16,0.27,0.28,0.27,0.27,3700,0.27
2016-03-15,0.32,0.32,0.23,0.26,14800,0.26
2016-03-14,0.37,0.37,0.21,0.28,134400,0.28
2016-03-11,0.31,0.35,0.30,0.30,67500,0.30
2016-03-10,0.31,0.31,0.29,0.29,66900,0.29
2016-03-09,0.31,0.35,0.28,0.32,105400,0.32
2016-03-08,0.36,0.36,0.25,0.28,92600,0.28
2016-03-07,0.30,0.35,0.27,0.34,131900,0.34
2016-03-04,0.35,0.35,0.25,0.25,284500,0.25
2016-03-03,0.21,0.30,0.20,0.26,224600,0.26
2016-03-02,0.24,0.24,0.18,0.20,103300,0.20
2016-03-01,0.24,0.27,0.23,0.24,287700,0.24
2016-02-29,0.25,0.27,0.22,0.23,34600,0.23
2016-02-26,0.24,0.26,0.22,0.23,33000,0.23
2016-02-25,0.26,0.27,0.24,0.25,90500,0.25
2016-02-24,0.23,0.27,0.22,0.27,67000,0.27
2016-02-23,0.22,0.25,0.21,0.25,10000,0.25
2016-02-22,0.22,0.26,0.22,0.24,31300,0.24
2016-02-19,0.26,0.26,0.23,0.23,7100,0.23
2016-02-18,0.27,0.27,0.23,0.25,17500,0.25
2016-02-17,0.23,0.35,0.22,0.27,138300,0.27
2016-02-16,0.23,0.27,0.22,0.23,52800,0.23
2016-02-12,0.22,0.28,0.22,0.26,73700,0.26
2016-02-11,0.22,0.24,0.22,0.22,4900,0.22
2016-02-10,0.22,0.22,0.22,0.22,10100,0.22
2016-02-09,0.17,0.23,0.17,0.22,16700,0.22
2016-02-08,0.20,0.20,0.20,0.20,000,0.20
2016-02-05,0.22,0.22,0.20,0.20,15200,0.20
2016-02-04,0.25,0.25,0.21,0.21,11600,0.21
2016-02-03,0.26,0.26,0.24,0.25,1700,0.25
2016-02-02,0.24,0.25,0.24,0.24,4700,0.24
2016-02-01,0.28,0.28,0.23,0.23,3500,0.23
2016-01-29,0.28,0.28,0.24,0.25,8800,0.25
2016-01-28,0.29,0.29,0.26,0.26,3500,0.26
2016-01-27,0.26,0.28,0.26,0.27,12900,0.27
2016-01-26,0.26,0.27,0.26,0.27,5700,0.27
2016-01-25,0.26,0.28,0.25,0.25,8900,0.25
2016-01-22,0.25,0.26,0.23,0.26,4300,0.26
2016-01-21,0.27,0.28,0.23,0.26,4000,0.26
2016-01-20,0.27,0.27,0.20,0.24,22900,0.24
2016-01-19,0.31,0.31,0.26,0.26,31400,0.26
2016-01-15,0.32,0.32,0.32,0.32,2900,0.32
2016-01-14,0.31,0.33,0.29,0.30,5100,0.30
2016-01-13,0.36,0.36,0.33,0.34,11800,0.34
2016-01-12,0.38,0.38,0.33,0.33,12300,0.33
2016-01-11,0.39,0.41,0.38,0.38,15800,0.38
2016-01-08,0.38,0.41,0.38,0.38,7000,0.38
2016-01-07,0.53,0.53,0.38,0.38,25200,0.38
2016-01-06,0.31,0.59,0.29,0.56,87400,0.56
2016-01-05,0.29,0.39,0.28,0.29,9900,0.29
2016-01-04,0.30,0.31,0.26,0.26,11100,0.26
