Date,Open,High,Low,Close,Volume,Adj Close
2016-05-12,0.24,0.30,0.24,0.27,303200,0.27
2016-05-11,0.24,0.26,0.20,0.24,82300,0.24
2016-05-10,0.25,0.27,0.22,0.26,199200,0.26
2016-05-09,0.25,0.27,0.24,0.26,234000,0.26
2016-05-06,0.28,0.28,0.21,0.27,24100,0.27
2016-05-05,0.26,0.28,0.26,0.27,39000,0.27
2016-05-04,0.24,0.29,0.22,0.25,52800,0.25
2016-05-03,0.32,0.34,0.20,0.24,586700,0.24
2016-05-02,0.20,0.34,0.19,0.30,1189000,0.30
2016-04-29,0.19,0.21,0.19,0.20,52700,0.20
2016-04-28,0.21,0.22,0.19,0.19,132600,0.19
2016-04-27,0.20,0.21,0.20,0.20,70000,0.20
2016-04-26,0.22,0.22,0.20,0.20,167500,0.20
2016-04-25,0.21,0.22,0.21,0.21,91200,0.21
2016-04-22,0.23,0.23,0.21,0.21,126400,0.21
2016-04-21,0.24,0.24,0.21,0.22,177500,0.22
2016-04-20,0.27,0.27,0.22,0.24,100600,0.24
2016-04-19,0.24,0.25,0.23,0.23,122700,0.23
2016-04-18,0.24,0.26,0.24,0.24,209400,0.24
2016-04-15,0.28,0.28,0.26,0.26,28200,0.26
2016-04-14,0.27,0.28,0.25,0.27,147600,0.27
2016-04-13,0.28,0.30,0.27,0.27,44400,0.27
2016-04-12,0.28,0.30,0.28,0.29,7000,0.29
2016-04-11,0.26,0.30,0.26,0.28,287000,0.28
2016-04-08,0.27,0.27,0.25,0.27,27900,0.27
2016-04-07,0.26,0.27,0.26,0.27,37100,0.27
2016-04-06,0.29,0.30,0.13,0.25,342800,0.25
2016-04-05,0.28,0.30,0.28,0.29,79800,0.29
2016-04-04,0.27,0.29,0.26,0.28,33100,0.28
2016-04-01,0.29,0.29,0.27,0.28,17900,0.28
2016-03-31,0.28,0.29,0.26,0.28,58400,0.28
2016-03-30,0.29,0.29,0.27,0.29,50300,0.29
2016-03-29,0.28,0.28,0.27,0.28,6400,0.28
2016-03-28,0.29,0.30,0.26,0.27,34200,0.27
2016-03-24,0.27,0.29,0.27,0.28,20600,0.28
2016-03-23,0.27,0.30,0.27,0.29,19000,0.29
2016-03-22,0.30,0.30,0.28,0.29,40200,0.29
2016-03-21,0.29,0.32,0.27,0.30,97700,0.30
2016-03-18,0.30,0.30,0.28,0.28,62600,0.28
2016-03-17,0.29,0.30,0.27,0.30,64100,0.30
2016-03-16,0.27,0.34,0.27,0.32,77500,0.32
2016-03-15,0.33,0.34,0.26,0.28,74800,0.28
2016-03-14,0.31,0.32,0.28,0.32,54700,0.32
2016-03-11,0.32,0.34,0.30,0.31,24700,0.31
2016-03-10,0.31,0.33,0.30,0.31,24700,0.31
2016-03-09,0.31,0.34,0.31,0.34,16800,0.34
2016-03-08,0.32,0.34,0.31,0.32,16500,0.32
2016-03-07,0.33,0.33,0.30,0.31,50900,0.31
2016-03-04,0.31,0.33,0.27,0.33,64000,0.33
2016-03-03,0.32,0.33,0.31,0.31,78000,0.31
2016-03-02,0.30,0.32,0.28,0.32,169800,0.32
2016-03-01,0.31,0.31,0.30,0.31,14200,0.31
2016-02-29,0.32,0.33,0.31,0.31,34200,0.31
2016-02-26,0.29,0.32,0.29,0.32,7200,0.32
2016-02-25,0.25,0.30,0.22,0.30,38100,0.30
2016-02-24,0.30,0.30,0.25,0.27,75500,0.27
2016-02-23,0.29,0.30,0.27,0.30,35700,0.30
2016-02-22,0.30,0.30,0.21,0.29,102400,0.29
2016-02-19,0.32,0.34,0.30,0.30,57900,0.30
2016-02-18,0.31,0.34,0.29,0.31,73800,0.31
2016-02-17,0.36,0.36,0.31,0.34,154100,0.34
2016-02-16,0.32,0.35,0.31,0.34,129700,0.34
2016-02-12,0.30,0.32,0.28,0.31,62300,0.31
2016-02-11,0.29,0.30,0.29,0.30,40400,0.30
2016-02-10,0.28,0.32,0.28,0.30,66500,0.30
2016-02-09,0.32,0.32,0.28,0.28,41700,0.28
2016-02-08,0.33,0.33,0.31,0.31,62300,0.31
2016-02-05,0.34,0.36,0.31,0.33,68700,0.33
2016-02-04,0.36,0.36,0.34,0.35,70200,0.35
2016-02-03,0.35,0.37,0.35,0.37,32200,0.37
2016-02-02,0.37,0.37,0.36,0.36,16600,0.36
2016-02-01,0.37,0.39,0.36,0.36,72400,0.36
2016-01-29,0.36,0.40,0.36,0.37,25900,0.37
2016-01-28,0.36,0.41,0.35,0.37,30000,0.37
2016-01-27,0.35,0.39,0.35,0.37,32900,0.37
2016-01-26,0.38,0.38,0.35,0.35,43600,0.35
2016-01-25,0.38,0.38,0.35,0.35,26900,0.35
2016-01-22,0.36,0.39,0.34,0.36,44800,0.36
2016-01-21,0.33,0.36,0.33,0.34,87400,0.34
2016-01-20,0.35,0.35,0.33,0.33,142800,0.33
2016-01-19,0.36,0.37,0.35,0.35,34400,0.35
2016-01-15,0.35,0.36,0.35,0.35,169900,0.35
2016-01-14,0.35,0.37,0.35,0.36,41700,0.36
2016-01-13,0.36,0.36,0.35,0.36,61300,0.36
2016-01-12,0.40,0.40,0.36,0.36,89300,0.36
2016-01-11,0.38,0.40,0.37,0.38,51700,0.38
2016-01-08,0.36,0.40,0.36,0.36,78000,0.36
2016-01-07,0.37,0.37,0.35,0.35,45100,0.35
2016-01-06,0.39,0.39,0.36,0.36,80900,0.36
2016-01-05,0.39,0.40,0.38,0.39,48800,0.39
2016-01-04,0.37,0.39,0.37,0.37,32600,0.37
