Date,Open,High,Low,Close,Volume,Adj Close
2016-05-12,11.67,11.98,10.83,11.03,47824500,11.03
2016-05-11,11.02,11.94,11.00,11.61,46688800,11.61
2016-05-10,10.79,10.98,10.51,10.86,25734200,10.86
2016-05-09,11.20,11.24,10.37,10.52,51190300,10.52
2016-05-06,11.14,12.12,11.13,11.79,51528300,11.79
2016-05-05,12.09,12.22,11.08,11.29,50082100,11.29
2016-05-04,12.14,12.51,11.58,11.80,48012000,11.80
2016-05-03,13.04,13.08,12.00,12.01,58759300,12.01
2016-05-02,14.03,14.04,13.31,13.55,46165300,13.55
2016-04-29,13.11,14.06,13.05,14.00,74434200,14.00
2016-04-28,12.66,13.36,12.61,12.66,62457500,12.66
2016-04-27,11.69,12.67,11.59,12.65,58083800,12.65
2016-04-26,11.29,11.60,10.56,11.48,56503700,11.48
2016-04-25,11.59,11.76,11.16,11.35,35706800,11.35
2016-04-22,11.76,12.05,11.43,11.67,53003200,11.67
2016-04-21,12.59,12.70,11.47,11.52,65928000,11.52
2016-04-20,11.95,12.69,11.82,12.36,61879200,12.36
2016-04-19,11.07,12.02,11.06,12.01,62996700,12.01
2016-04-18,10.48,11.09,10.22,11.02,40993800,11.02
2016-04-15,10.47,10.93,10.35,10.86,29350200,10.86
2016-04-14,10.85,11.07,10.54,10.73,37693400,10.73
2016-04-13,10.74,11.23,10.72,10.82,54961400,10.82
2016-04-12,10.03,10.48,9.90,10.43,58589400,10.43
2016-04-11,9.58,9.88,9.51,9.76,33148000,9.76
2016-04-08,9.17,9.53,9.02,9.33,37139900,9.33
2016-04-07,9.28,9.51,8.76,8.85,61050100,8.85
2016-04-06,9.47,9.65,9.10,9.61,37216700,9.61
2016-04-05,9.26,9.62,9.22,9.34,31995200,9.34
2016-04-04,9.91,10.09,9.39,9.42,38656000,9.42
2016-04-01,9.92,10.00,9.59,9.89,41391600,9.89
2016-03-31,10.13,10.46,10.13,10.34,32847800,10.34
2016-03-30,10.36,10.59,9.99,10.29,46703300,10.29
2016-03-29,9.71,10.30,9.41,10.14,44124800,10.14
2016-03-28,10.25,10.48,9.73,10.14,35295200,10.14
2016-03-24,9.37,10.15,9.10,10.11,52527400,10.11
2016-03-23,10.57,10.72,9.73,9.75,48568400,9.75
2016-03-22,10.56,11.20,10.43,10.99,31000600,10.99
2016-03-21,10.65,10.93,10.35,10.80,31248900,10.80
2016-03-18,11.04,11.45,10.44,10.76,78652800,10.76
2016-03-17,10.43,11.07,10.06,10.90,52841600,10.90
2016-03-16,9.25,10.28,9.22,10.22,49163700,10.22
2016-03-15,9.45,9.49,9.03,9.27,36348600,9.27
2016-03-14,9.47,10.14,9.37,9.97,39704600,9.97
2016-03-11,9.85,9.88,9.41,9.55,40901700,9.55
2016-03-10,8.86,9.65,8.75,9.60,55701100,9.60
2016-03-09,8.91,9.23,8.47,9.15,49063000,9.15
2016-03-08,9.37,9.42,8.56,8.66,58328900,8.66
2016-03-07,9.77,10.20,9.51,9.86,63493600,9.86
2016-03-04,9.32,10.50,9.17,9.74,104835500,9.74
2016-03-03,8.66,9.20,8.46,9.11,66639700,9.11
2016-03-02,7.82,9.02,7.79,8.97,84686700,8.97
2016-03-01,7.84,7.88,7.26,7.76,53860300,7.76
2016-02-29,7.69,7.84,7.51,7.63,46472500,7.63
2016-02-26,7.70,7.80,7.31,7.43,48311100,7.43
2016-02-25,7.14,7.34,6.79,7.12,35161800,7.12
2016-02-24,6.74,7.26,6.55,7.20,57050800,7.20
2016-02-23,7.55,7.74,7.15,7.24,58801900,7.24
2016-02-22,7.27,7.97,7.27,7.93,75176100,7.93
2016-02-19,6.98,7.17,6.75,6.92,38797400,6.92
2016-02-18,7.40,7.42,6.65,7.15,59703700,7.15
2016-02-17,6.63,7.60,6.60,7.16,103520300,7.16
2016-02-16,5.82,6.38,5.80,6.37,74148400,6.37
2016-02-12,5.12,5.75,5.08,5.53,44408400,5.53
2016-02-11,4.81,5.08,4.65,4.89,37980200,4.89
2016-02-10,4.95,5.13,4.78,4.98,33743900,4.98
2016-02-09,5.12,5.40,4.97,5.00,43151600,5.00
2016-02-08,5.46,5.93,5.17,5.27,64853400,5.27
2016-02-05,5.57,5.98,5.45,5.68,71686300,5.68
2016-02-04,5.10,6.03,5.09,5.72,116173800,5.72
2016-02-03,4.43,4.85,4.35,4.85,44213000,4.85
2016-02-02,4.60,4.65,4.26,4.35,31559600,4.35
2016-02-01,4.50,4.82,4.33,4.74,48283700,4.74
2016-01-29,4.44,4.75,4.37,4.60,41823100,4.60
2016-01-28,4.80,4.88,4.21,4.42,66789400,4.42
2016-01-27,4.06,5.08,4.02,4.65,95563500,4.65
2016-01-26,4.40,4.42,3.83,4.20,91940800,4.20
