Date,Open,High,Low,Close,Volume,Adj Close
2016-05-12,0.30,0.34,0.29,0.32,3211600,0.32
2016-05-11,0.31,0.31,0.27,0.29,1771100,0.29
2016-05-10,0.37,0.37,0.28,0.30,4942300,0.30
2016-05-09,0.35,0.41,0.31,0.35,10315500,0.35
2016-05-06,0.26,0.35,0.25,0.32,8372100,0.32
2016-05-05,0.27,0.27,0.25,0.25,782000,0.25
2016-05-04,0.27,0.27,0.25,0.27,1415000,0.27
2016-05-03,0.26,0.27,0.26,0.26,777800,0.26
2016-05-02,0.26,0.27,0.26,0.26,1210300,0.26
2016-04-29,0.26,0.27,0.25,0.26,1028600,0.26
2016-04-28,0.28,0.28,0.25,0.26,1498000,0.26
2016-04-27,0.28,0.28,0.25,0.26,1433800,0.26
2016-04-26,0.27,0.28,0.25,0.26,777500,0.26
2016-04-25,0.28,0.28,0.26,0.26,978600,0.26
2016-04-22,0.27,0.27,0.26,0.27,919800,0.27
2016-04-21,0.30,0.30,0.26,0.26,1606500,0.26
2016-04-20,0.28,0.30,0.26,0.28,3122400,0.28
2016-04-19,0.26,0.28,0.26,0.27,405300,0.27
2016-04-18,0.26,0.27,0.25,0.26,241500,0.26
2016-04-15,0.27,0.27,0.25,0.26,609600,0.26
2016-04-14,0.28,0.28,0.26,0.27,737600,0.27
2016-04-13,0.30,0.30,0.27,0.27,1494000,0.27
2016-04-12,0.28,0.30,0.25,0.29,2871200,0.29
2016-04-11,0.26,0.27,0.24,0.26,796100,0.26
2016-04-08,0.24,0.26,0.23,0.26,823600,0.26
2016-04-07,0.24,0.25,0.23,0.24,506700,0.24
2016-04-06,0.23,0.25,0.22,0.24,820300,0.24
2016-04-05,0.24,0.24,0.22,0.22,952900,0.22
2016-04-04,0.26,0.26,0.23,0.24,1321600,0.24
2016-04-01,0.27,0.28,0.25,0.25,899000,0.25
2016-03-31,0.26,0.28,0.23,0.27,3195000,0.27
2016-03-30,0.29,0.29,0.26,0.26,1902000,0.26
2016-03-29,0.33,0.34,0.26,0.28,5741200,0.28
2016-03-28,0.56,0.57,0.42,0.46,3031700,0.46
2016-03-24,0.43,0.51,0.38,0.46,860400,0.46
2016-03-23,0.48,0.48,0.41,0.43,1189300,0.43
2016-03-22,0.38,0.55,0.38,0.51,2086900,0.51
2016-03-21,0.38,0.40,0.36,0.37,280700,0.37
2016-03-18,0.39,0.41,0.37,0.38,982800,0.38
2016-03-17,0.38,0.39,0.35,0.39,403000,0.39
2016-03-16,0.36,0.37,0.36,0.37,121300,0.37
2016-03-15,0.38,0.38,0.34,0.35,435800,0.35
2016-03-14,0.39,0.39,0.37,0.37,206500,0.37
2016-03-11,0.39,0.40,0.37,0.38,382100,0.38
2016-03-10,0.39,0.41,0.37,0.39,651400,0.39
2016-03-09,0.43,0.43,0.35,0.38,553000,0.38
2016-03-08,0.46,0.46,0.40,0.40,775700,0.40
2016-03-07,0.44,0.45,0.42,0.45,335500,0.45
2016-03-04,0.42,0.44,0.40,0.42,398700,0.42
2016-03-03,0.44,0.44,0.40,0.42,287200,0.42
2016-03-02,0.40,0.44,0.39,0.42,582800,0.42
2016-03-01,0.39,0.39,0.38,0.39,200300,0.39
2016-02-29,0.38,0.40,0.37,0.38,231200,0.38
2016-02-26,0.37,0.39,0.37,0.38,90800,0.38
2016-02-25,0.38,0.39,0.35,0.39,120300,0.39
2016-02-24,0.37,0.38,0.34,0.37,224200,0.37
2016-02-23,0.39,0.39,0.37,0.37,114200,0.37
2016-02-22,0.37,0.40,0.37,0.38,117700,0.38
2016-02-19,0.38,0.40,0.36,0.37,275200,0.37
2016-02-18,0.41,0.41,0.38,0.40,117100,0.40
2016-02-17,0.42,0.42,0.38,0.41,255700,0.41
2016-02-16,0.38,0.43,0.37,0.42,711700,0.42
2016-02-12,0.34,0.37,0.33,0.35,171600,0.35
2016-02-11,0.35,0.36,0.33,0.33,214000,0.33
2016-02-10,0.36,0.36,0.35,0.35,294900,0.35
2016-02-09,0.36,0.38,0.36,0.36,240600,0.36
2016-02-08,0.41,0.41,0.36,0.36,297000,0.36
2016-02-05,0.43,0.45,0.39,0.41,270100,0.41
2016-02-04,0.43,0.43,0.38,0.43,141800,0.43
2016-02-03,0.40,0.42,0.38,0.41,207700,0.41
2016-02-02,0.45,0.45,0.39,0.39,333800,0.39
2016-02-01,0.43,0.44,0.41,0.42,260800,0.42
2016-01-29,0.45,0.48,0.43,0.48,256700,0.48
2016-01-28,0.42,0.45,0.42,0.42,151000,0.42
2016-01-27,0.43,0.44,0.41,0.42,212600,0.42
2016-01-26,0.45,0.46,0.42,0.44,180600,0.44
2016-01-25,0.46,0.47,0.42,0.44,207600,0.44
2016-01-22,0.40,0.50,0.38,0.46,668200,0.46
2016-01-21,0.37,0.40,0.36,0.39,269100,0.39
2016-01-20,0.35,0.36,0.29,0.35,466200,0.35
2016-01-19,0.40,0.40,0.35,0.35,352300,0.35
2016-01-15,0.42,0.42,0.38,0.39,456300,0.39
2016-01-14,0.41,0.43,0.39,0.42,283800,0.42
2016-01-13,0.46,0.46,0.38,0.40,367700,0.40
2016-01-12,0.48,0.48,0.41,0.41,376200,0.41
2016-01-11,0.50,0.51,0.43,0.48,607900,0.48
2016-01-08,0.58,0.59,0.49,0.53,675600,0.53
2016-01-07,0.63,0.63,0.55,0.55,727800,0.55
2016-01-06,0.67,0.67,0.58,0.60,598500,0.60
2016-01-05,0.65,0.69,0.65,0.67,384700,0.67
2016-01-04,0.61,0.66,0.60,0.65,274500,0.65
