Date,Open,High,Low,Close,Volume,Adj Close
2016-05-12,2.25,2.27,2.11,2.21,307400,2.21
2016-05-11,2.25,2.30,2.25,2.25,120500,2.25
2016-05-10,2.25,2.30,2.22,2.27,186400,2.27
2016-05-09,2.19,2.24,2.07,2.22,437400,2.22
2016-05-06,2.26,2.33,2.16,2.17,482200,2.17
2016-05-05,2.30,2.34,2.26,2.28,224500,2.28
2016-05-04,2.35,2.39,2.28,2.28,310900,2.28
2016-05-03,2.37,2.39,2.34,2.37,195000,2.37
2016-05-02,2.28,2.39,2.25,2.35,969100,2.35
2016-04-29,2.35,2.37,2.30,2.30,322200,2.30
2016-04-28,2.43,2.52,2.31,2.33,762600,2.33
2016-04-27,2.62,2.63,2.45,2.46,634200,2.46
2016-04-26,2.60,2.64,2.56,2.62,158100,2.62
2016-04-25,2.62,2.65,2.57,2.58,333600,2.58
2016-04-22,2.49,2.64,2.45,2.56,499400,2.56
2016-04-21,2.62,2.65,2.41,2.50,928800,2.50
2016-04-20,2.83,2.86,2.51,2.56,1086800,2.56
2016-04-19,3.01,3.03,2.55,2.80,1387900,2.80
2016-04-18,2.98,3.02,2.94,3.01,716000,3.01
2016-04-15,2.94,2.96,2.93,2.93,237100,2.93
2016-04-14,2.95,2.95,2.89,2.92,136700,2.92
2016-04-13,2.89,2.95,2.87,2.95,190400,2.95
2016-04-12,3.00,3.02,2.86,2.89,263700,2.89
2016-04-11,2.90,3.03,2.90,3.00,364000,3.00
2016-04-08,2.82,2.97,2.79,2.90,371200,2.90
2016-04-07,2.80,2.85,2.78,2.82,188200,2.82
2016-04-06,2.66,2.85,2.64,2.79,517500,2.79
2016-04-05,2.67,2.70,2.56,2.56,316700,2.56
2016-04-04,2.80,2.88,2.53,2.58,892100,2.58
2016-04-01,2.70,2.79,2.68,2.72,185400,2.72
2016-03-31,2.72,2.79,2.70,2.70,174000,2.70
2016-03-30,2.72,2.75,2.65,2.74,251100,2.74
2016-03-29,2.75,2.79,2.66,2.67,293300,2.67
2016-03-28,2.75,2.84,2.71,2.74,281900,2.74
2016-03-24,2.63,2.75,2.63,2.75,323500,2.75
2016-03-23,2.53,2.70,2.53,2.63,702700,2.63
2016-03-22,2.61,2.75,2.53,2.53,563600,2.53
2016-03-21,2.53,2.65,2.53,2.59,198400,2.59
2016-03-18,2.54,2.62,2.53,2.54,305100,2.54
2016-03-17,2.49,2.55,2.42,2.53,206500,2.53
2016-03-16,2.52,2.53,2.37,2.47,431900,2.47
2016-03-15,2.57,2.62,2.48,2.49,135400,2.49
2016-03-14,2.55,2.61,2.47,2.56,254700,2.56
2016-03-11,2.59,2.64,2.49,2.57,337700,2.57
2016-03-10,2.57,2.65,2.52,2.56,320800,2.56
2016-03-09,2.36,2.62,2.36,2.55,481600,2.55
2016-03-08,2.42,2.49,2.31,2.34,285200,2.34
2016-03-07,2.52,2.60,2.40,2.45,326200,2.45
2016-03-04,2.60,2.68,2.50,2.51,485700,2.51
2016-03-03,2.69,2.71,2.58,2.60,220500,2.60
2016-03-02,2.59,2.68,2.52,2.67,444500,2.67
2016-03-01,2.64,2.80,2.53,2.57,663100,2.57
2016-02-29,2.60,2.66,2.54,2.60,602000,2.60
2016-02-26,2.36,2.60,2.36,2.54,719000,2.54
2016-02-25,2.32,2.36,2.28,2.33,139000,2.33
2016-02-24,2.27,2.37,2.23,2.33,253100,2.33
2016-02-23,2.27,2.33,2.21,2.26,196000,2.26
2016-02-22,2.39,2.39,2.19,2.26,396500,2.26
2016-02-19,2.27,2.35,2.23,2.34,337900,2.34
2016-02-18,2.25,2.29,2.20,2.27,208700,2.27
2016-02-17,2.30,2.36,2.17,2.22,415500,2.22
2016-02-16,2.17,2.38,2.17,2.31,580000,2.31
2016-02-12,2.06,2.25,1.95,2.17,792100,2.17
2016-02-11,2.19,2.25,2.10,2.13,728100,2.13
2016-02-10,2.41,2.49,2.20,2.31,794400,2.31
2016-02-09,2.80,2.80,2.02,2.42,1704300,2.42
2016-02-08,3.03,3.03,2.75,3.01,793800,3.01
2016-02-05,3.18,3.19,2.96,3.01,830800,3.01
2016-02-04,3.27,3.30,3.11,3.15,569800,3.15
2016-02-03,3.32,3.35,3.05,3.26,647100,3.26
2016-02-02,3.42,3.42,3.21,3.26,658600,3.26
2016-02-01,3.17,3.36,3.06,3.33,1244700,3.33
2016-01-29,3.08,3.20,3.06,3.12,797400,3.12
2016-01-28,2.97,3.09,2.91,3.03,440500,3.03
2016-01-27,2.94,3.00,2.90,2.97,211100,2.97
2016-01-26,2.93,2.93,2.85,2.92,158100,2.92
2016-01-25,2.85,3.00,2.85,2.90,502800,2.90
2016-01-22,2.79,2.90,2.74,2.86,498000,2.86
2016-01-21,2.71,2.80,2.63,2.72,190800,2.72
2016-01-20,2.68,2.75,2.37,2.73,879700,2.73
2016-01-19,2.81,2.88,2.73,2.81,352200,2.81
2016-01-15,2.81,2.93,2.77,2.83,836400,2.83
2016-01-14,2.82,2.98,2.80,2.89,361400,2.89
2016-01-13,2.74,2.88,2.74,2.86,505200,2.86
2016-01-12,2.81,2.95,2.69,2.80,667900,2.80
2016-01-11,3.03,3.06,2.75,2.84,849000,2.84
2016-01-08,2.88,3.03,2.86,2.95,686500,2.95
2016-01-07,2.94,3.00,2.75,2.85,654900,2.85
2016-01-06,2.93,3.09,2.93,3.00,545100,3.00
2016-01-05,3.16,3.29,2.97,2.97,1190200,2.97
2016-01-04,2.99,3.16,2.61,3.14,1300000,3.14
