Date,Open,High,Low,Close,Volume,Adj Close
2016-05-12,0.37,0.37,0.33,0.33,117900,0.33
2016-05-11,0.36,0.38,0.35,0.37,27100,0.37
2016-05-10,0.39,0.39,0.30,0.35,241800,0.35
2016-05-09,0.41,0.41,0.38,0.38,72800,0.38
2016-05-06,0.41,0.42,0.39,0.41,53500,0.41
2016-05-05,0.42,0.42,0.40,0.40,74200,0.40
2016-05-04,0.41,0.43,0.40,0.40,75600,0.40
2016-05-03,0.41,0.43,0.40,0.41,81100,0.41
2016-05-02,0.40,0.44,0.38,0.42,269000,0.42
2016-04-29,0.37,0.40,0.36,0.38,108400,0.38
2016-04-28,0.38,0.39,0.34,0.36,187900,0.36
2016-04-27,0.36,0.38,0.33,0.37,75000,0.37
2016-04-26,0.38,0.38,0.36,0.37,49400,0.37
2016-04-25,0.37,0.38,0.37,0.37,58200,0.37
2016-04-22,0.37,0.38,0.33,0.37,210700,0.37
2016-04-21,0.37,0.38,0.35,0.37,243800,0.37
2016-04-20,0.33,0.38,0.33,0.36,674400,0.36
2016-04-19,0.34,0.34,0.33,0.33,64700,0.33
2016-04-18,0.33,0.34,0.33,0.33,73000,0.33
2016-04-15,0.32,0.34,0.32,0.33,136300,0.33
2016-04-14,0.32,0.33,0.31,0.31,68500,0.31
2016-04-13,0.32,0.33,0.31,0.31,111600,0.31
2016-04-12,0.32,0.34,0.27,0.32,304800,0.32
2016-04-11,0.31,0.34,0.30,0.32,40100,0.32
2016-04-08,0.32,0.32,0.30,0.31,95400,0.31
2016-04-07,0.34,0.35,0.31,0.31,65800,0.31
2016-04-06,0.34,0.34,0.33,0.34,25800,0.34
2016-04-05,0.34,0.34,0.32,0.32,31700,0.32
2016-04-04,0.32,0.34,0.32,0.32,38100,0.32
2016-04-01,0.34,0.34,0.32,0.32,39000,0.32
2016-03-31,0.31,0.34,0.31,0.34,49900,0.34
2016-03-30,0.31,0.34,0.31,0.34,43000,0.34
2016-03-29,0.31,0.32,0.31,0.31,102600,0.31
2016-03-28,0.31,0.33,0.31,0.32,77300,0.32
2016-03-24,0.33,0.34,0.31,0.31,75800,0.31
2016-03-23,0.33,0.34,0.31,0.34,81600,0.34
2016-03-22,0.33,0.35,0.31,0.33,91800,0.33
2016-03-21,0.32,0.35,0.32,0.33,77200,0.33
2016-03-18,0.32,0.34,0.29,0.34,117500,0.34
2016-03-17,0.35,0.36,0.29,0.32,304700,0.32
2016-03-16,0.32,0.36,0.32,0.34,75500,0.34
2016-03-15,0.38,0.38,0.28,0.32,350200,0.32
2016-03-14,0.33,0.39,0.33,0.38,539400,0.38
2016-03-11,0.32,0.33,0.31,0.33,557800,0.33
2016-03-10,0.30,0.32,0.29,0.31,292800,0.31
2016-03-09,0.28,0.31,0.28,0.29,339300,0.29
2016-03-08,0.28,0.33,0.23,0.27,654400,0.27
2016-03-07,0.22,0.29,0.21,0.28,815100,0.28
2016-03-04,0.21,0.22,0.21,0.21,322700,0.21
2016-03-03,0.20,0.21,0.20,0.21,281900,0.21
2016-03-02,0.21,0.21,0.20,0.21,182300,0.21
2016-03-01,0.21,0.21,0.20,0.20,95300,0.20
2016-02-29,0.22,0.22,0.20,0.20,147000,0.20
2016-02-26,0.22,0.22,0.20,0.21,96300,0.21
2016-02-25,0.21,0.21,0.20,0.21,59400,0.21
2016-02-24,0.22,0.22,0.20,0.20,61900,0.20
2016-02-23,0.22,0.22,0.21,0.22,51900,0.22
2016-02-22,0.20,0.22,0.20,0.22,109100,0.22
2016-02-19,0.21,0.22,0.19,0.19,67100,0.19
2016-02-18,0.22,0.22,0.20,0.20,56400,0.20
2016-02-17,0.21,0.22,0.20,0.22,92200,0.22
2016-02-16,0.21,0.21,0.19,0.20,40100,0.20
2016-02-12,0.21,0.22,0.20,0.20,221100,0.20
2016-02-11,0.22,0.22,0.18,0.20,159300,0.20
2016-02-10,0.18,0.21,0.18,0.18,80700,0.18
2016-02-09,0.20,0.22,0.16,0.16,332100,0.16
2016-02-08,0.22,0.22,0.21,0.21,139600,0.21
2016-02-05,0.21,0.22,0.21,0.22,25100,0.22
2016-02-04,0.22,0.22,0.21,0.21,52900,0.21
2016-02-03,0.22,0.24,0.21,0.21,95300,0.21
2016-02-02,0.21,0.23,0.20,0.22,70400,0.22
2016-02-01,0.23,0.23,0.22,0.22,45400,0.22
2016-01-29,0.23,0.24,0.21,0.21,191700,0.21
2016-01-28,0.23,0.24,0.23,0.24,75700,0.24
2016-01-27,0.23,0.24,0.21,0.23,132400,0.23
2016-01-26,0.24,0.24,0.22,0.22,301300,0.22
2016-01-25,0.23,0.24,0.19,0.20,154000,0.20
2016-01-22,0.22,0.24,0.21,0.21,380400,0.21
2016-01-21,0.15,0.20,0.15,0.20,95300,0.20
2016-01-20,0.17,0.17,0.15,0.15,367800,0.15
2016-01-19,0.18,0.18,0.17,0.17,226900,0.17
2016-01-15,0.19,0.19,0.18,0.18,151800,0.18
2016-01-14,0.19,0.20,0.19,0.20,95400,0.20
2016-01-13,0.19,0.20,0.19,0.19,140800,0.19
2016-01-12,0.20,0.21,0.19,0.19,100300,0.19
2016-01-11,0.20,0.21,0.19,0.20,159000,0.20
2016-01-08,0.20,0.21,0.20,0.20,157500,0.20
2016-01-07,0.20,0.21,0.20,0.21,119300,0.21
2016-01-06,0.21,0.22,0.20,0.20,158800,0.20
2016-01-05,0.21,0.22,0.20,0.22,198700,0.22
2016-01-04,0.20,0.21,0.20,0.20,63300,0.20
