Date,Open,High,Low,Close,Volume,Adj Close
2016-05-12,8.85,9.09,8.33,8.91,386700,8.91
2016-05-11,7.96,8.31,7.71,7.99,158100,7.99
2016-05-10,7.53,7.71,7.50,7.63,150900,7.63
2016-05-09,7.54,7.60,7.06,7.47,167300,7.47
2016-05-06,7.46,8.05,7.40,7.50,137600,7.50
2016-05-05,8.51,8.69,7.36,7.64,393400,7.64
2016-05-04,6.00,9.30,6.00,9.06,1240700,9.06
2016-05-03,7.06,7.16,6.86,7.04,142800,7.04
2016-05-02,6.86,7.35,6.68,7.21,208600,7.21
2016-04-29,7.08,7.12,6.75,7.06,210300,7.06
2016-04-28,7.08,7.13,6.88,6.93,105500,6.93
2016-04-27,7.05,7.13,6.92,7.03,138300,7.03
2016-04-26,6.87,7.09,6.65,7.06,217700,7.06
2016-04-25,7.09,7.16,6.76,6.85,217300,6.85
2016-04-22,7.12,7.30,6.93,7.09,201900,7.09
2016-04-21,7.30,7.39,7.03,7.26,87700,7.26
2016-04-20,7.46,7.71,7.16,7.25,266900,7.25
2016-04-19,6.90,7.58,6.88,7.52,444100,7.52
2016-04-18,7.00,7.18,6.82,6.86,161200,6.86
2016-04-15,7.32,7.32,7.01,7.26,136900,7.26
2016-04-14,7.42,7.68,6.98,7.16,223400,7.16
2016-04-13,6.59,7.68,6.59,7.32,391100,7.32
2016-04-12,6.57,6.61,6.21,6.56,243000,6.56
2016-04-11,6.75,6.80,6.46,6.56,153700,6.56
2016-04-08,6.64,6.81,6.48,6.60,236700,6.60
2016-04-07,6.62,6.80,6.34,6.35,215300,6.35
2016-04-06,6.79,6.93,6.64,6.75,126700,6.75
2016-04-05,6.62,7.09,6.61,6.86,180200,6.86
2016-04-04,7.59,7.64,6.84,6.90,483100,6.90
2016-04-01,7.45,7.83,7.31,7.54,341600,7.54
2016-03-31,8.10,8.15,7.34,7.53,438700,7.53
2016-03-30,8.21,8.73,8.12,8.16,476300,8.16
2016-03-29,9.03,9.17,8.70,8.99,245800,8.99
2016-03-28,9.29,9.45,8.89,9.04,476200,9.04
2016-03-24,8.44,8.63,8.15,8.27,108700,8.27
2016-03-23,9.32,9.33,8.68,8.71,175400,8.71
2016-03-22,7.87,9.65,7.87,9.10,494600,9.10
2016-03-21,8.08,8.37,7.62,8.05,238300,8.05
2016-03-18,8.14,8.34,7.96,8.21,191200,8.21
2016-03-17,7.79,8.49,7.45,8.30,333700,8.30
2016-03-16,6.73,7.17,6.37,7.08,226500,7.08
2016-03-15,7.80,7.92,7.00,7.21,181600,7.21
2016-03-14,8.91,8.91,8.19,8.36,79500,8.36
2016-03-11,9.70,9.96,8.83,9.15,228300,9.15
2016-03-10,8.79,9.52,8.37,9.43,447300,9.43
2016-03-09,9.07,9.13,8.68,8.73,114700,8.73
2016-03-08,8.54,9.00,8.36,8.73,120500,8.73
2016-03-07,9.00,9.12,8.13,8.85,168600,8.85
2016-03-04,10.17,11.38,8.19,8.52,1193500,8.52
2016-03-03,7.13,10.20,7.12,10.08,1312100,10.08
2016-03-02,6.68,7.05,6.41,7.04,362000,7.04
2016-03-01,5.66,5.81,5.50,5.75,119300,5.75
2016-02-29,5.82,5.89,5.63,5.78,253600,5.78
2016-02-26,5.60,6.10,4.85,5.37,549400,5.37
2016-02-25,0.50,0.51,0.47,0.47,15700,4.70
2016-02-24,0.51,0.51,0.46,0.49,28800,4.90
2016-02-23,0.50,0.53,0.49,0.50,25700,5.00
2016-02-22,0.47,0.50,0.45,0.50,51100,5.00
2016-02-19,0.44,0.46,0.43,0.45,13200,4.50
2016-02-18,0.48,0.48,0.43,0.46,26900,4.60
2016-02-17,0.47,0.48,0.46,0.48,34800,4.80
2016-02-16,0.47,0.47,0.41,0.41,19600,4.10
2016-02-12,0.48,0.48,0.46,0.47,23800,4.70
2016-02-11,0.46,0.48,0.45,0.45,23400,4.50
2016-02-10,0.50,0.50,0.45,0.46,39400,4.60
2016-02-09,0.49,0.52,0.45,0.49,19700,4.90
2016-02-08,0.43,0.51,0.31,0.46,33100,4.60
2016-02-05,0.57,0.57,0.47,0.48,124100,4.80
2016-02-04,0.58,0.61,0.55,0.57,68500,5.70
2016-02-03,0.51,0.57,0.48,0.54,218200,5.40
2016-02-02,0.60,0.74,0.47,0.48,418600,4.80
2016-02-01,0.48,0.61,0.41,0.58,225200,5.80
2016-01-29,0.27,0.55,0.27,0.55,432900,5.50
2016-01-28,0.26,0.28,0.26,0.26,81100,2.60
2016-01-27,0.26,0.28,0.25,0.25,221200,2.50
2016-01-26,0.28,0.28,0.24,0.25,603900,2.50
2016-01-25,0.27,0.31,0.25,0.27,66900,2.70
2016-01-22,0.29,0.29,0.25,0.26,151900,2.60
2016-01-21,0.28,0.28,0.25,0.25,206100,2.50
2016-01-20,0.29,0.30,0.26,0.28,287700,2.80
2016-01-19,0.34,0.34,0.25,0.27,85200,2.70
2016-01-15,0.32,0.32,0.27,0.30,55600,3.00
2016-01-14,0.32,0.34,0.29,0.30,113100,3.00
2016-01-13,0.40,0.40,0.34,0.34,65200,3.40
2016-01-12,0.39,0.39,0.37,0.39,119200,3.90
2016-01-11,0.43,0.43,0.38,0.38,38800,3.80
2016-01-08,0.46,0.46,0.41,0.42,31500,4.20
2016-01-07,0.44,0.46,0.44,0.44,60000,4.40
2016-01-06,0.57,0.57,0.46,0.47,85500,4.70
2016-01-05,0.58,0.61,0.53,0.57,63600,5.70
2016-01-04,0.59,0.61,0.57,0.58,22900,5.80
