Date,Open,High,Low,Close,Volume,Adj Close
2016-05-12,3.00,3.09,2.72,2.88,112200,2.88
2016-05-11,2.61,2.61,1.90,2.35,9890500,2.35
2016-05-10,2.65,2.67,2.65,2.65,2800,2.65
2016-05-09,2.60,2.67,2.60,2.67,2700,2.67
2016-05-06,2.61,2.65,2.57,2.57,2000,2.57
2016-05-05,2.59,2.78,2.59,2.64,3000,2.64
2016-05-04,2.62,2.62,2.46,2.52,18500,2.52
2016-05-03,2.72,2.73,2.60,2.65,3900,2.65
2016-05-02,2.85,2.85,2.69,2.80,9900,2.80
2016-04-29,2.70,2.92,2.56,2.90,21600,2.90
2016-04-28,2.88,2.90,2.71,2.90,1800,2.90
2016-04-27,2.80,2.83,2.75,2.77,11400,2.77
2016-04-26,3.00,3.00,2.93,2.93,22200,2.93
2016-04-25,3.10,3.11,3.00,3.05,7400,3.05
2016-04-22,3.00,3.10,2.91,3.10,23000,3.10
2016-04-21,2.90,3.05,2.90,3.02,14400,3.02
2016-04-20,2.90,3.00,2.90,2.92,11700,2.92
2016-04-19,3.00,3.01,3.00,3.00,6500,3.00
2016-04-18,2.96,3.00,2.96,3.00,3000,3.00
2016-04-15,2.86,2.97,2.85,2.97,1400,2.97
2016-04-14,2.89,2.92,2.89,2.92,1100,2.92
2016-04-13,2.80,2.80,2.80,2.80,200,2.80
2016-04-12,2.81,2.83,2.80,2.83,1800,2.83
2016-04-11,2.88,2.92,2.78,2.92,11500,2.92
2016-04-08,2.71,2.84,2.71,2.79,5000,2.79
2016-04-07,2.68,2.68,2.68,2.68,900,2.68
2016-04-06,2.64,2.68,2.63,2.68,2200,2.68
2016-04-05,2.65,2.74,2.65,2.74,600,2.74
2016-04-04,2.85,2.85,2.55,2.55,6200,2.55
2016-04-01,2.90,2.90,2.90,2.90,300,2.90
2016-03-31,2.80,2.93,2.80,2.93,1900,2.93
2016-03-30,2.94,2.94,2.87,2.87,600,2.87
2016-03-29,2.71,2.75,2.70,2.75,600,2.75
2016-03-28,2.81,2.89,2.81,2.89,300,2.89
2016-03-24,2.90,2.90,2.89,2.89,600,2.89
2016-03-23,2.78,2.89,2.65,2.78,1100,2.78
2016-03-22,2.62,2.62,2.62,2.62,400,2.62
2016-03-21,2.70,2.75,2.70,2.75,500,2.75
2016-03-18,2.90,2.90,2.68,2.70,13500,2.70
2016-03-17,3.00,3.00,2.99,3.00,2400,3.00
2016-03-16,2.81,2.90,2.75,2.90,3000,2.90
2016-03-15,2.80,2.81,2.69,2.69,600,2.69
2016-03-14,2.80,2.89,2.73,2.80,1100,2.80
2016-03-11,2.70,2.70,2.63,2.70,24900,2.70
2016-03-10,2.60,2.70,2.60,2.68,5700,2.68
2016-03-09,2.60,2.69,2.60,2.69,1800,2.69
2016-03-08,2.70,2.70,2.46,2.65,21900,2.65
2016-03-07,2.75,2.79,2.59,2.70,20100,2.70
2016-03-04,3.02,3.02,2.70,2.80,25800,2.80
2016-03-03,3.00,3.11,3.00,3.00,300,3.00
2016-03-02,3.10,3.14,3.10,3.10,7900,3.10
2016-03-01,3.15,3.15,3.00,3.11,1400,3.11
2016-02-29,2.98,3.07,2.98,3.05,1400,3.05
2016-02-26,3.00,3.23,2.90,2.90,9000,2.90
2016-02-25,3.20,3.20,3.20,3.20,000,3.20
2016-02-24,3.20,3.20,3.20,3.20,700,3.20
2016-02-23,3.02,3.02,3.02,3.02,200,3.02
2016-02-22,3.05,3.10,2.98,3.10,16300,3.10
2016-02-19,2.89,3.02,2.89,2.97,1200,2.97
2016-02-18,2.87,2.89,2.87,2.89,700,2.89
2016-02-17,2.95,2.95,2.83,2.88,500,2.88
2016-02-16,2.88,3.00,2.85,2.91,1000,2.91
2016-02-12,3.01,3.01,2.90,2.90,5000,2.90
2016-02-11,3.08,3.10,3.05,3.05,3900,3.05
2016-02-10,3.22,3.22,3.15,3.15,1200,3.15
2016-02-09,3.22,3.22,3.22,3.22,300,3.22
2016-02-08,3.22,3.22,3.22,3.22,000,3.22
2016-02-05,3.25,3.30,3.20,3.22,4200,3.22
2016-02-04,3.18,3.19,3.18,3.18,800,3.18
2016-02-03,3.13,3.13,3.13,3.13,000,3.13
2016-02-02,3.34,3.34,3.10,3.13,2000,3.13
2016-02-01,3.50,3.54,3.25,3.28,12800,3.28
2016-01-29,3.59,3.60,3.50,3.60,11500,3.60
2016-01-28,3.50,3.60,3.50,3.60,600,3.60
2016-01-27,3.01,3.38,2.87,3.30,20000,3.30
2016-01-26,2.95,3.05,2.95,3.05,5600,3.05
2016-01-25,2.89,2.89,2.89,2.89,000,2.89
2016-01-22,2.80,2.99,2.80,2.89,3200,2.89
2016-01-21,2.70,2.79,2.70,2.70,1000,2.70
2016-01-20,2.61,2.75,2.61,2.75,21100,2.75
2016-01-19,2.79,2.79,2.68,2.71,1300,2.71
2016-01-15,2.75,2.85,2.70,2.74,6400,2.74
2016-01-14,2.80,2.80,2.80,2.80,200,2.80
2016-01-13,2.70,2.80,2.57,2.80,26700,2.80
2016-01-12,2.85,2.85,2.70,2.80,6000,2.80
2016-01-11,2.70,2.80,2.70,2.75,15300,2.75
2016-01-08,2.68,2.75,2.50,2.67,32200,2.67
2016-01-07,2.70,2.71,2.60,2.60,3100,2.60
2016-01-06,2.82,2.82,2.75,2.81,1300,2.81
2016-01-05,2.84,2.84,2.75,2.76,2000,2.76
2016-01-04,2.78,2.78,2.45,2.75,24000,2.75
