Date,Open,High,Low,Close,Volume,Adj Close
2016-05-12,3.67,3.70,2.72,2.72,2131900,2.72
2016-05-11,4.05,4.09,3.50,3.72,1525800,3.72
2016-05-10,4.39,4.65,4.31,4.50,344800,4.50
2016-05-09,4.38,4.38,4.24,4.35,167500,4.35
2016-05-06,4.40,4.46,4.24,4.34,237700,4.34
2016-05-05,4.60,4.66,4.40,4.44,437700,4.44
2016-05-04,4.38,4.63,4.38,4.58,434200,4.58
2016-05-03,4.37,4.50,4.28,4.42,360000,4.42
2016-05-02,4.24,4.48,4.16,4.46,345300,4.46
2016-04-29,4.20,4.29,4.00,4.22,429000,4.22
2016-04-28,4.27,4.36,4.20,4.22,253100,4.22
2016-04-27,4.36,4.37,4.26,4.35,247000,4.35
2016-04-26,4.36,4.38,4.25,4.36,296400,4.36
2016-04-25,4.36,4.36,4.23,4.32,318700,4.32
2016-04-22,4.35,4.37,4.15,4.34,380100,4.34
2016-04-21,4.35,4.35,4.01,4.31,403200,4.31
2016-04-20,4.38,4.47,4.26,4.29,326700,4.29
2016-04-19,4.31,4.55,4.25,4.43,803900,4.43
2016-04-18,3.98,4.25,3.97,4.23,761300,4.23
2016-04-15,3.70,3.98,3.70,3.97,743300,3.97
2016-04-14,3.87,3.91,3.65,3.70,421100,3.70
2016-04-13,3.49,3.86,3.48,3.83,823400,3.83
2016-04-12,3.41,3.50,3.41,3.47,347800,3.47
2016-04-11,3.43,3.48,3.40,3.43,255500,3.43
2016-04-08,3.35,3.44,3.31,3.40,407100,3.40
2016-04-07,3.33,3.36,3.25,3.31,456100,3.31
2016-04-06,3.20,3.34,3.20,3.29,313300,3.29
2016-04-05,3.31,3.34,3.15,3.16,170800,3.16
2016-04-04,3.15,3.37,3.15,3.33,245600,3.33
2016-04-01,3.11,3.22,3.09,3.17,196800,3.17
2016-03-31,3.15,3.22,3.12,3.12,217600,3.12
2016-03-30,3.09,3.21,3.05,3.16,197500,3.16
2016-03-29,2.95,3.10,2.86,3.05,277500,3.05
2016-03-28,3.06,3.07,2.91,2.94,285900,2.94
2016-03-24,3.08,3.20,3.00,3.03,232600,3.03
2016-03-23,3.15,3.21,3.05,3.08,174800,3.08
2016-03-22,3.29,3.29,3.20,3.24,249500,3.24
2016-03-21,3.19,3.38,3.19,3.29,239700,3.29
2016-03-18,3.33,3.45,3.17,3.23,374200,3.23
2016-03-17,3.49,3.49,3.19,3.34,365700,3.34
2016-03-16,3.60,3.62,3.31,3.40,546800,3.40
2016-03-15,3.42,3.44,2.90,3.28,515800,3.28
2016-03-14,3.30,3.47,3.25,3.45,526200,3.45
2016-03-11,3.12,3.31,3.12,3.25,844200,3.25
2016-03-10,2.77,3.07,2.71,3.00,328800,3.00
2016-03-09,2.73,2.80,2.70,2.80,90000,2.80
2016-03-08,2.74,2.74,2.58,2.68,128400,2.68
2016-03-07,2.76,2.79,2.70,2.76,120600,2.76
2016-03-04,2.78,2.78,2.66,2.76,226900,2.76
2016-03-03,2.79,2.84,2.75,2.79,175600,2.79
2016-03-02,2.72,2.82,2.72,2.80,296400,2.80
2016-03-01,2.81,2.81,2.72,2.76,245500,2.76
2016-02-29,2.70,2.85,2.68,2.85,188300,2.85
2016-02-26,2.74,2.78,2.67,2.70,236200,2.70
2016-02-25,2.69,2.75,2.66,2.70,178900,2.70
2016-02-24,2.57,2.67,2.50,2.63,199600,2.63
2016-02-23,2.75,2.85,2.54,2.64,456200,2.64
2016-02-22,2.50,2.67,2.46,2.61,353700,2.61
2016-02-19,2.32,2.49,2.25,2.42,365000,2.42
2016-02-18,2.29,2.34,2.26,2.34,258400,2.34
2016-02-17,2.13,2.30,2.13,2.26,367800,2.26
2016-02-16,2.00,2.11,1.96,2.08,156500,2.08
2016-02-12,2.00,2.00,1.92,1.98,121500,1.98
2016-02-11,1.94,1.99,1.86,1.93,265100,1.93
2016-02-10,2.02,2.07,1.94,1.98,271800,1.98
2016-02-09,2.11,2.13,2.01,2.01,209600,2.01
2016-02-08,2.28,2.28,2.14,2.16,284400,2.16
2016-02-05,2.35,2.35,2.22,2.22,289500,2.22
2016-02-04,2.34,2.45,2.31,2.35,344200,2.35
2016-02-03,2.28,2.35,2.19,2.30,493600,2.30
2016-02-02,2.12,2.23,2.12,2.19,419800,2.19
2016-02-01,2.04,2.21,1.97,2.17,410600,2.17
2016-01-29,1.86,2.11,1.85,2.11,728900,2.11
2016-01-28,1.92,2.02,1.82,1.85,421800,1.85
2016-01-27,2.07,2.08,1.94,1.95,791600,1.95
2016-01-26,2.06,2.08,2.01,2.06,400800,2.06
2016-01-25,2.12,2.13,2.01,2.02,431700,2.02
2016-01-22,2.07,2.16,2.04,2.13,225000,2.13
2016-01-21,1.99,2.11,1.95,2.02,361600,2.02
2016-01-20,2.06,2.08,1.88,2.01,1672400,2.01
2016-01-19,2.28,2.31,2.12,2.15,626100,2.15
2016-01-15,2.26,2.38,2.22,2.31,1016700,2.31
2016-01-14,2.72,2.73,2.34,2.41,1152400,2.41
2016-01-13,3.05,3.06,2.52,2.68,3435300,2.68
2016-01-12,2.45,2.51,2.30,2.40,340400,2.40
2016-01-11,2.41,2.50,2.31,2.43,388900,2.43
2016-01-08,2.50,2.58,2.33,2.41,613700,2.41
2016-01-07,2.74,2.77,2.34,2.47,1684700,2.47
2016-01-06,2.74,3.25,2.74,3.10,938100,3.10
2016-01-05,2.75,2.85,2.74,2.75,148900,2.75
2016-01-04,2.71,2.78,2.67,2.77,315500,2.77
