Date,Open,High,Low,Close,Volume,Adj Close
2016-05-12,0.50,0.52,0.46,0.47,29200,0.47
2016-05-11,0.50,0.52,0.48,0.52,21900,0.52
2016-05-10,0.47,0.54,0.47,0.52,33300,0.52
2016-05-09,0.48,0.52,0.46,0.48,61600,0.48
2016-05-06,0.49,0.51,0.47,0.48,100200,0.48
2016-05-05,0.52,0.52,0.49,0.49,37400,0.49
2016-05-04,0.49,0.54,0.48,0.54,59900,0.54
2016-05-03,0.52,0.55,0.49,0.50,63800,0.50
2016-05-02,0.55,0.57,0.52,0.52,48800,0.52
2016-04-29,0.54,0.57,0.54,0.57,29800,0.57
2016-04-28,0.57,0.58,0.53,0.56,56400,0.56
2016-04-27,0.60,0.60,0.56,0.59,11900,0.59
2016-04-26,0.61,0.61,0.51,0.57,54900,0.57
2016-04-25,0.56,0.62,0.56,0.58,37900,0.58
2016-04-22,0.58,0.61,0.56,0.56,40800,0.56
2016-04-21,0.56,0.60,0.56,0.59,47500,0.59
2016-04-20,0.59,0.60,0.56,0.60,40700,0.60
2016-04-19,0.60,0.62,0.56,0.57,65000,0.57
2016-04-18,0.62,0.62,0.56,0.60,12000,0.60
2016-04-15,0.59,0.62,0.56,0.59,30000,0.59
2016-04-14,0.56,0.61,0.56,0.57,50000,0.57
2016-04-13,0.61,0.61,0.56,0.56,39500,0.56
2016-04-12,0.62,0.63,0.57,0.60,50500,0.60
2016-04-11,0.56,0.62,0.56,0.59,143000,0.59
2016-04-08,0.60,0.60,0.56,0.57,15500,0.57
2016-04-07,0.57,0.59,0.56,0.58,25100,0.58
2016-04-06,0.60,0.62,0.57,0.58,31900,0.58
2016-04-05,0.57,0.60,0.55,0.58,68100,0.58
2016-04-04,0.62,0.62,0.55,0.55,23100,0.55
2016-04-01,0.59,0.63,0.59,0.60,24200,0.60
2016-03-31,0.63,0.63,0.60,0.60,71500,0.60
2016-03-30,0.59,0.65,0.58,0.60,60400,0.60
2016-03-29,0.61,0.61,0.58,0.60,24500,0.60
2016-03-28,0.56,0.61,0.56,0.59,91300,0.59
2016-03-24,0.60,0.61,0.56,0.59,28400,0.59
2016-03-23,0.59,0.61,0.59,0.59,47100,0.59
2016-03-22,0.61,0.62,0.58,0.60,70000,0.60
2016-03-21,0.61,0.62,0.59,0.61,45200,0.61
2016-03-18,0.62,0.65,0.60,0.61,30900,0.61
2016-03-17,0.61,0.61,0.57,0.61,73400,0.61
2016-03-16,0.61,0.63,0.59,0.60,51000,0.60
2016-03-15,0.60,0.62,0.59,0.59,14900,0.59
2016-03-14,0.58,0.60,0.56,0.57,70800,0.57
2016-03-11,0.59,0.62,0.56,0.56,155400,0.56
2016-03-10,0.62,0.62,0.57,0.59,46600,0.59
2016-03-09,0.62,0.65,0.55,0.60,111300,0.60
2016-03-08,0.64,0.69,0.58,0.58,106900,0.58
2016-03-07,0.60,0.71,0.60,0.64,238700,0.64
2016-03-04,0.59,0.65,0.55,0.58,280200,0.58
2016-03-03,0.59,0.60,0.56,0.57,134800,0.57
2016-03-02,0.57,0.60,0.52,0.57,60400,0.57
2016-03-01,0.51,0.56,0.51,0.52,65100,0.52
2016-02-29,0.60,0.60,0.53,0.53,21200,0.53
2016-02-26,0.60,0.60,0.55,0.60,49700,0.60
2016-02-25,0.57,0.60,0.56,0.57,113100,0.57
2016-02-24,0.56,0.59,0.52,0.54,65100,0.54
2016-02-23,0.54,0.54,0.53,0.54,23900,0.54
2016-02-22,0.46,0.55,0.46,0.53,85400,0.53
2016-02-19,0.51,0.54,0.48,0.49,20000,0.49
2016-02-18,0.54,0.55,0.50,0.51,13700,0.51
2016-02-17,0.50,0.55,0.50,0.51,52300,0.51
2016-02-16,0.52,0.53,0.50,0.53,16000,0.53
2016-02-12,0.52,0.60,0.51,0.55,21000,0.55
2016-02-11,0.57,0.57,0.50,0.50,88000,0.50
2016-02-10,0.69,0.70,0.56,0.57,63200,0.57
2016-02-09,0.60,0.70,0.52,0.70,175900,0.70
2016-02-08,0.55,0.63,0.52,0.57,81200,0.57
2016-02-05,0.57,0.61,0.57,0.57,32700,0.57
2016-02-04,0.60,0.61,0.56,0.57,26200,0.57
2016-02-03,0.61,0.61,0.59,0.60,26700,0.60
2016-02-02,0.60,0.61,0.60,0.60,99800,0.60
2016-02-01,0.56,0.61,0.56,0.60,41800,0.60
2016-01-29,0.60,0.60,0.52,0.54,118600,0.54
2016-01-28,0.62,0.63,0.58,0.62,35300,0.62
2016-01-27,0.65,0.68,0.60,0.62,45500,0.62
2016-01-26,0.64,0.73,0.64,0.65,16900,0.65
2016-01-25,0.68,0.71,0.60,0.63,40600,0.63
2016-01-22,0.60,0.75,0.60,0.67,123400,0.67
2016-01-21,0.65,0.65,0.53,0.57,118400,0.57
2016-01-20,0.66,0.72,0.57,0.62,175600,0.62
2016-01-19,0.46,0.80,0.43,0.71,582000,0.71
2016-01-15,0.36,0.51,0.35,0.47,204400,0.47
2016-01-14,0.35,0.39,0.32,0.36,228300,0.36
2016-01-13,0.37,0.38,0.30,0.32,283900,0.32
2016-01-12,0.39,0.40,0.36,0.37,49300,0.37
2016-01-11,0.38,0.38,0.37,0.37,99300,0.37
2016-01-08,0.41,0.44,0.38,0.38,94400,0.38
2016-01-07,0.40,0.44,0.39,0.39,181400,0.39
2016-01-06,0.42,0.44,0.38,0.40,224400,0.40
2016-01-05,0.43,0.44,0.40,0.40,126400,0.40
2016-01-04,0.42,0.47,0.42,0.42,86900,0.42
