Date,Open,High,Low,Close,Volume,Adj Close
2016-05-12,7.81,7.98,7.65,7.80,22246100,7.80
2016-05-11,7.85,8.09,7.75,7.89,20567400,7.89
2016-05-10,8.34,8.38,7.99,8.09,18686500,8.09
2016-05-09,8.55,8.70,8.13,8.43,18462500,8.43
2016-05-06,8.59,8.60,8.02,8.26,34069900,8.26
2016-05-05,9.00,9.09,8.75,8.93,17366500,8.93
2016-05-04,9.26,9.30,8.86,9.03,16432000,9.03
2016-05-03,9.57,9.64,9.32,9.32,11499200,9.32
2016-05-02,9.50,9.75,9.32,9.62,15175900,9.62
2016-04-29,9.69,9.69,9.23,9.28,13698600,9.28
2016-04-28,9.56,9.84,9.52,9.66,10187200,9.66
2016-04-27,9.52,9.66,9.40,9.63,7554100,9.63
2016-04-26,9.42,9.55,9.17,9.49,10680900,9.49
2016-04-25,9.50,9.58,9.41,9.47,9851200,9.47
2016-04-22,9.52,9.75,9.51,9.53,7609200,9.53
2016-04-21,9.88,9.90,9.51,9.55,11917800,9.55
2016-04-20,9.75,10.05,9.71,9.81,9145300,9.81
2016-04-19,9.91,9.97,9.63,9.74,11789000,9.74
2016-04-18,9.83,9.98,9.76,9.90,9549800,9.90
2016-04-15,9.66,9.97,9.48,9.85,12915100,9.85
2016-04-14,10.10,10.12,9.59,9.66,14206200,9.66
2016-04-13,9.81,10.08,9.62,10.06,12446000,10.06
2016-04-12,9.82,9.97,9.55,9.75,21583100,9.75
2016-04-11,10.02,10.10,9.77,9.79,18659500,9.79
2016-04-08,10.14,10.18,9.89,10.02,11853800,10.02
2016-04-07,10.54,10.57,9.98,10.16,18910300,10.16
2016-04-06,10.47,10.72,10.25,10.58,10169000,10.58
2016-04-05,10.41,10.56,10.24,10.43,12078100,10.43
2016-04-04,10.81,10.99,10.52,10.54,12009800,10.54
2016-04-01,11.01,11.13,10.61,10.63,12643200,10.63
2016-03-31,11.22,11.30,11.03,11.06,8669800,11.06
2016-03-30,11.47,11.50,11.04,11.22,12157000,11.22
2016-03-29,11.32,11.46,11.22,11.43,11386500,11.43
2016-03-28,10.89,11.35,10.88,11.22,8287000,11.22
2016-03-24,10.90,10.93,10.54,10.91,11330000,10.91
2016-03-23,11.23,11.28,10.96,10.96,10054200,10.96
2016-03-22,11.45,11.51,11.25,11.26,8441600,11.26
2016-03-21,11.53,11.73,11.43,11.53,5666400,11.53
2016-03-18,11.52,11.85,11.48,11.57,12073800,11.57
2016-03-17,11.20,11.61,11.05,11.52,8661300,11.52
2016-03-16,11.10,11.25,11.00,11.23,8520300,11.23
