Date,Open,High,Low,Close,Volume,Adj Close
2016-05-12,5.81,5.94,5.81,5.94,600,5.94
2016-05-11,5.42,5.42,5.42,5.42,000,5.42
2016-05-10,5.42,5.42,5.42,5.42,000,5.42
2016-05-09,5.42,5.42,5.42,5.42,100,5.42
2016-05-06,5.52,5.52,5.50,5.50,300,5.50
2016-05-05,5.69,5.69,5.69,5.69,200,5.69
2016-05-04,5.54,5.54,5.51,5.51,900,5.51
2016-05-03,5.67,5.67,5.67,5.67,000,5.67
2016-05-02,5.72,5.72,5.67,5.67,500,5.67
2016-04-29,5.79,5.79,5.79,5.79,100,5.79
2016-04-28,5.68,5.78,5.68,5.74,1200,5.74
2016-04-27,5.53,5.53,5.53,5.53,000,5.53
2016-04-26,5.50,5.53,5.50,5.53,200,5.53
2016-04-25,5.56,5.56,5.45,5.45,6600,5.45
2016-04-22,5.58,5.64,5.58,5.64,600,5.64
2016-04-21,5.51,5.53,5.51,5.53,400,5.53
2016-04-20,5.36,5.36,5.36,5.36,000,5.36
2016-04-19,5.26,5.36,5.25,5.36,28200,5.36
2016-04-18,5.13,5.13,5.13,5.13,200,5.13
2016-04-15,5.43,5.43,5.43,5.43,000,5.43
2016-04-14,5.46,5.46,5.41,5.43,1700,5.43
2016-04-13,5.44,5.44,5.41,5.41,1000,5.41
2016-04-12,5.31,5.48,5.31,5.48,300,5.48
2016-04-11,5.18,5.18,5.17,5.17,400,5.17
2016-04-08,5.16,5.16,5.16,5.16,200,5.16
2016-04-07,4.81,4.81,4.81,4.81,000,4.81
2016-04-06,4.72,4.81,4.72,4.81,900,4.81
2016-04-05,4.68,4.68,4.68,4.68,100,4.68
2016-04-04,4.71,4.71,4.71,4.71,200,4.71
2016-04-01,4.73,4.80,4.72,4.80,1400,4.80
2016-03-31,5.02,5.02,4.98,4.98,4000,4.98
2016-03-30,4.99,4.99,4.99,4.99,100,4.99
2016-03-29,5.02,5.02,5.02,5.02,100,5.02
2016-03-28,4.96,5.08,4.96,5.08,2600,5.08
2016-03-24,4.96,5.01,4.95,5.00,6500,5.00
2016-03-23,5.19,5.19,4.98,5.03,21400,5.03
2016-03-22,5.24,5.30,4.33,5.25,27400,5.25
2016-03-21,5.32,5.32,5.32,5.32,000,5.32
2016-03-18,5.32,5.33,5.32,5.32,3900,5.32
2016-03-17,5.21,5.31,5.14,5.31,3600,5.31
2016-03-16,4.90,4.90,4.90,4.90,000,4.90
2016-03-15,4.90,4.90,4.90,4.90,500,4.90
2016-03-14,5.02,5.02,5.00,5.00,600,5.00
2016-03-11,5.19,5.19,5.15,5.17,2700,5.17
2016-03-10,5.07,5.07,5.04,5.04,200,5.04
2016-03-09,4.92,4.92,4.92,4.92,000,4.92
2016-03-08,4.93,4.94,4.92,4.92,17300,4.92
2016-03-07,4.70,4.70,4.70,4.70,000,4.70
2016-03-04,4.74,4.74,4.70,4.70,500,4.70
2016-03-03,4.59,4.60,4.59,4.60,1200,4.60
2016-03-02,4.59,4.60,4.55,4.60,3000,4.60
2016-03-01,4.52,4.52,4.52,4.52,000,4.52
2016-02-29,4.48,4.53,4.48,4.52,1700,4.52
2016-02-26,4.37,4.37,4.37,4.37,100,4.37
2016-02-25,4.29,4.37,4.29,4.37,400,4.37
2016-02-24,4.21,4.22,4.21,4.22,2500,4.22
2016-02-23,4.32,4.32,4.31,4.32,9700,4.32
2016-02-22,4.50,4.51,4.48,4.50,5900,4.50
2016-02-19,4.33,4.33,4.26,4.30,2200,4.30
2016-02-18,4.64,4.68,4.56,4.68,1000,4.68
2016-02-17,4.35,4.56,4.35,4.56,6100,4.56
2016-02-16,4.35,4.35,4.22,4.22,9100,4.22
2016-02-12,4.29,4.39,4.29,4.39,800,4.39
2016-02-11,4.19,4.20,4.09,4.20,5100,4.20
2016-02-10,4.19,4.29,4.17,4.25,3200,4.25
2016-02-09,4.43,4.45,4.19,4.23,2400,4.23
2016-02-08,4.65,4.65,4.50,4.50,2700,4.50
2016-02-05,4.59,4.64,4.59,4.64,700,4.64
2016-02-04,4.80,4.80,4.60,4.60,700,4.60
2016-02-03,4.49,4.72,4.48,4.72,4500,4.72
2016-02-02,4.45,4.45,4.36,4.41,1600,4.41
2016-02-01,4.81,4.83,4.70,4.71,900,4.71
2016-01-29,5.05,5.05,4.95,5.05,300,5.05
2016-01-28,4.92,4.95,4.89,4.95,800,4.95
2016-01-27,4.57,4.68,4.57,4.68,700,4.68
2016-01-26,4.53,4.65,4.53,4.65,800,4.65
2016-01-25,4.55,4.60,4.49,4.49,500,4.49
2016-01-22,4.57,4.68,4.57,4.68,1800,4.68
2016-01-21,4.18,4.35,4.18,4.33,1600,4.33
2016-01-20,4.16,4.20,4.05,4.20,1900,4.20
2016-01-19,4.38,4.39,4.35,4.38,600,4.38
2016-01-15,4.48,4.48,4.38,4.38,5000,4.38
2016-01-14,4.66,4.91,4.62,4.67,5000,4.67
2016-01-13,4.81,4.81,4.66,4.66,3500,4.66
2016-01-12,4.93,4.93,4.72,4.72,500,4.72
2016-01-11,5.16,5.16,4.95,4.95,1700,4.95
2016-01-08,5.19,5.25,5.16,5.25,3300,5.25
2016-01-07,5.09,5.30,5.09,5.20,4500,5.20
2016-01-06,5.37,5.41,5.29,5.29,400,5.29
2016-01-05,5.51,5.53,5.51,5.53,400,5.53
2016-01-04,5.80,5.80,5.61,5.61,200,5.61
