Date,Open,High,Low,Close,Volume,Adj Close
2016-05-12,3.74,3.75,3.22,3.58,63649300,3.58
2016-05-11,3.94,4.03,3.60,3.63,138421300,3.63
2016-05-10,6.32,6.35,5.99,6.09,13231200,6.09
2016-05-09,6.20,6.28,6.04,6.26,8157200,6.26
2016-05-06,5.95,6.17,5.85,6.14,10169400,6.14
2016-05-05,6.00,6.09,5.93,5.94,9529900,5.94
2016-05-04,5.84,6.09,5.80,6.05,6804800,6.05
2016-05-03,5.83,5.86,5.65,5.86,7815400,5.86
2016-05-02,5.84,5.92,5.77,5.83,10293100,5.83
2016-04-29,6.00,6.00,5.79,5.88,9204000,5.88
2016-04-28,6.07,6.17,6.02,6.02,6130500,6.02
2016-04-27,5.84,6.08,5.81,6.05,11569500,6.05
2016-04-26,6.14,6.28,5.81,5.84,15792600,5.84
2016-04-25,6.20,6.25,6.04,6.13,13961100,6.13
2016-04-22,6.30,6.36,6.20,6.20,10967700,6.20
2016-04-21,6.47,6.53,6.25,6.31,12295300,6.31
2016-04-20,6.79,6.80,6.08,6.44,23197300,6.44
2016-04-19,7.24,7.46,6.82,6.86,16026500,6.86
2016-04-18,7.42,7.42,7.17,7.25,6915800,7.25
2016-04-15,7.45,7.54,7.37,7.44,8921100,7.44
2016-04-14,7.56,7.56,7.40,7.49,6131900,7.49
2016-04-13,7.53,7.59,7.50,7.56,4846200,7.56
2016-04-12,7.51,7.56,7.46,7.52,7034800,7.52
2016-04-11,7.66,7.68,7.46,7.47,5965400,7.47
2016-04-08,7.63,7.70,7.49,7.66,4197500,7.66
2016-04-07,7.69,7.91,7.49,7.56,12905800,7.56
2016-04-06,7.56,7.84,7.48,7.73,11141800,7.73
2016-04-05,7.30,7.71,7.10,7.56,29535000,7.56
2016-04-04,7.50,7.54,7.29,7.35,6905300,7.35
2016-04-01,7.07,7.67,7.03,7.55,12690900,7.55
2016-03-31,7.36,7.37,6.99,7.10,12303400,7.10
2016-03-30,7.64,7.68,7.10,7.38,11757700,7.38
2016-03-29,7.08,7.75,7.07,7.59,20165300,7.59
2016-03-28,7.23,7.48,7.14,7.44,16622900,7.44
2016-03-24,7.10,7.20,6.80,6.91,28057400,6.91
2016-03-23,6.18,6.65,6.13,6.34,15447200,6.34
2016-03-22,5.64,6.34,5.64,6.21,26259600,6.21
2016-03-21,5.73,5.78,5.30,5.66,10175100,5.66
2016-03-18,5.81,5.85,5.66,5.76,10254400,5.76
2016-03-17,5.65,5.91,5.52,5.83,20615300,5.83
2016-03-16,5.05,5.32,5.00,5.26,11709600,5.26
