Date,Open,High,Low,Close,Volume,Adj Close
2016-05-12,0.43,0.43,0.39,0.41,5469200,0.41
2016-05-11,0.46,0.48,0.41,0.41,7805100,0.41
2016-05-10,0.54,0.54,0.48,0.50,3487500,0.50
2016-05-09,0.62,0.63,0.51,0.52,6099500,0.52
2016-05-06,0.60,0.61,0.48,0.53,9853400,0.53
2016-05-05,0.68,0.70,0.55,0.57,20139100,0.57
2016-05-04,1.12,1.18,1.01,1.06,7479500,1.06
2016-05-03,1.07,1.25,0.98,1.10,15913300,1.10
2016-05-02,1.28,1.39,0.90,0.98,28219300,0.98
2016-04-29,0.78,0.80,0.73,0.75,3126100,0.75
2016-04-28,0.80,0.80,0.77,0.78,1390100,0.78
2016-04-27,0.80,0.82,0.78,0.79,632200,0.79
2016-04-26,0.78,0.83,0.76,0.80,1312100,0.80
2016-04-25,0.88,0.90,0.76,0.78,1929300,0.78
2016-04-22,0.91,0.92,0.86,0.87,730700,0.87
2016-04-21,0.89,0.94,0.89,0.90,817800,0.90
2016-04-20,0.88,0.92,0.86,0.90,965800,0.90
2016-04-19,0.90,0.92,0.87,0.88,678300,0.88
2016-04-18,0.92,0.97,0.89,0.90,1043000,0.90
2016-04-15,0.92,0.96,0.90,0.94,1017900,0.94
2016-04-14,0.94,0.99,0.90,0.91,982600,0.91
2016-04-13,0.93,0.96,0.92,0.94,951000,0.94
2016-04-12,1.01,1.02,0.87,0.93,2770800,0.93
2016-04-11,1.06,1.07,1.00,1.01,790500,1.01
2016-04-08,1.07,1.07,1.02,1.04,477400,1.04
2016-04-07,1.06,1.09,1.04,1.06,683100,1.06
2016-04-06,1.04,1.09,1.02,1.06,1138000,1.06
2016-04-05,1.08,1.09,1.03,1.04,853700,1.04
2016-04-04,1.05,1.14,1.04,1.08,946100,1.08
2016-04-01,1.04,1.10,1.03,1.04,1005900,1.04
2016-03-31,1.06,1.10,1.05,1.05,651300,1.05
2016-03-30,1.09,1.12,1.05,1.07,824600,1.07
2016-03-29,1.16,1.16,1.00,1.10,1551400,1.10
2016-03-28,1.19,1.32,1.12,1.15,1844800,1.15
2016-03-24,1.33,1.37,1.05,1.15,4251000,1.15
2016-03-23,1.12,1.45,1.12,1.32,6910800,1.32
2016-03-22,0.90,1.12,0.90,1.10,3419700,1.10
2016-03-21,0.93,1.00,0.88,0.92,1234100,0.92
2016-03-18,1.01,1.04,0.88,0.90,2426000,0.90
2016-03-17,1.15,1.20,0.96,0.99,2176100,0.99
2016-03-16,1.24,1.25,1.10,1.16,1368900,1.16
2016-03-15,1.50,1.53,1.20,1.23,2488900,1.23
2016-03-14,1.71,1.71,1.52,1.56,1472600,1.56
2016-03-11,1.84,1.86,1.68,1.71,1787900,1.71
2016-03-10,2.00,2.10,1.68,1.84,2518800,1.84
2016-03-09,2.32,2.35,2.25,2.28,389100,2.28
2016-03-08,2.40,2.44,2.25,2.26,516200,2.26
2016-03-07,2.27,2.43,2.25,2.40,499000,2.40
2016-03-04,2.31,2.38,2.25,2.27,642900,2.27
2016-03-03,2.23,2.30,2.19,2.30,478100,2.30
2016-03-02,2.16,2.25,2.13,2.20,445000,2.20
2016-03-01,2.22,2.24,2.13,2.18,372600,2.18
2016-02-29,2.19,2.24,2.14,2.20,217600,2.20
2016-02-26,2.16,2.22,2.13,2.18,268900,2.18
2016-02-25,2.23,2.28,2.12,2.14,218300,2.14
2016-02-24,2.11,2.22,2.00,2.19,466100,2.19
2016-02-23,2.14,2.17,2.10,2.11,318300,2.11
2016-02-22,2.04,2.13,2.04,2.10,469400,2.10
2016-02-19,2.10,2.10,1.99,2.03,813400,2.03
2016-02-18,2.27,2.27,2.03,2.09,547900,2.09
2016-02-17,2.13,2.29,2.12,2.25,623700,2.25
2016-02-16,2.10,2.20,2.06,2.11,326100,2.11
2016-02-12,1.96,2.10,1.93,2.04,378500,2.04
2016-02-11,1.99,2.03,1.91,1.96,295400,1.96
2016-02-10,2.09,2.16,1.92,1.97,716400,1.97
2016-02-09,2.05,2.17,1.90,2.06,608200,2.06
2016-02-08,1.97,2.33,1.86,2.10,1053000,2.10
2016-02-05,2.07,2.11,1.99,1.99,355600,1.99
2016-02-04,2.04,2.14,2.01,2.08,303000,2.08
2016-02-03,2.06,2.16,1.90,2.04,558100,2.04
2016-02-02,2.17,2.19,2.03,2.06,394700,2.06
2016-02-01,2.15,2.22,2.09,2.20,310800,2.20
2016-01-29,2.14,2.30,2.04,2.18,319600,2.18
2016-01-28,2.15,2.47,2.07,2.15,300300,2.15
2016-01-27,2.30,2.35,2.11,2.15,439800,2.15
2016-01-26,2.27,2.41,2.16,2.30,470100,2.30
2016-01-25,2.23,2.35,2.22,2.27,588300,2.27
2016-01-22,2.07,2.27,2.06,2.26,1018800,2.26
2016-01-21,1.82,2.09,1.79,2.01,795100,2.01
2016-01-20,1.97,1.97,1.68,1.81,1802500,1.81
2016-01-19,2.22,2.28,1.95,2.01,978900,2.01
2016-01-15,2.31,2.46,2.16,2.22,876700,2.22
2016-01-14,2.34,2.50,2.17,2.40,927700,2.40
2016-01-13,2.54,2.67,2.33,2.35,524300,2.35
2016-01-12,2.59,2.67,2.41,2.51,622300,2.51
2016-01-11,2.64,2.74,2.49,2.54,836200,2.54
2016-01-08,2.74,2.81,2.63,2.65,786500,2.65
2016-01-07,2.84,2.90,2.72,2.76,850000,2.76
2016-01-06,2.78,2.94,2.71,2.90,952200,2.90
2016-01-05,2.89,2.94,2.79,2.81,538900,2.81
2016-01-04,2.83,2.96,2.81,2.90,1052800,2.90
