Date,Open,High,Low,Close,Volume,Adj Close
2016-05-12,3.94,3.95,3.90,3.91,23907000,3.91
2016-05-11,3.96,3.98,3.93,3.93,13513000,3.93
2016-05-10,3.93,3.98,3.91,3.98,24581700,3.98
2016-05-09,3.92,3.95,3.91,3.93,21671400,3.93
2016-05-06,3.86,3.94,3.86,3.93,28243500,3.93
2016-05-05,3.89,3.93,3.88,3.88,19066300,3.88
2016-05-04,3.94,3.95,3.87,3.88,45230500,3.88
2016-05-03,3.97,3.99,3.92,3.95,34182900,3.95
2016-05-02,3.97,3.99,3.93,3.97,29049200,3.97
2016-04-29,3.91,3.96,3.89,3.95,39226500,3.95
2016-04-28,4.02,4.05,3.92,3.92,54332100,3.92
2016-04-27,3.98,4.01,3.96,3.98,30256300,3.98
2016-04-26,3.97,4.01,3.96,3.97,18693300,3.97
2016-04-25,3.95,3.98,3.93,3.97,23787400,3.97
2016-04-22,3.95,4.01,3.95,3.96,57195400,3.96
2016-04-21,3.95,3.97,3.92,3.94,40367200,3.94
2016-04-20,3.93,3.97,3.92,3.93,33861400,3.93
2016-04-19,3.85,3.93,3.84,3.93,59839300,3.93
2016-04-18,3.89,3.93,3.82,3.85,61978700,3.85
2016-04-15,3.92,3.93,3.88,3.90,26323300,3.90
2016-04-14,3.91,3.94,3.88,3.89,37926600,3.89
2016-04-13,3.87,3.94,3.86,3.92,58527300,3.92
2016-04-12,3.81,3.89,3.80,3.86,51360200,3.86
2016-04-11,3.83,3.87,3.81,3.81,61105200,3.81
2016-04-08,3.85,3.87,3.79,3.85,56198200,3.85
2016-04-07,3.93,3.94,3.79,3.82,76317500,3.82
2016-04-06,3.87,3.93,3.86,3.93,41537100,3.93
2016-04-05,3.88,3.89,3.83,3.87,44163300,3.87
2016-04-04,3.95,3.96,3.90,3.90,21333300,3.90
2016-04-01,3.95,4.00,3.93,3.96,56991200,3.96
2016-03-31,3.95,3.97,3.93,3.95,24577900,3.95
2016-03-30,3.94,3.96,3.91,3.96,28556000,3.96
2016-03-29,3.91,3.95,3.90,3.94,22578100,3.94
2016-03-28,3.88,3.94,3.87,3.91,16817600,3.91
2016-03-24,3.86,3.89,3.84,3.87,21362700,3.87
2016-03-23,3.92,3.92,3.85,3.86,26661900,3.86
2016-03-22,3.89,3.93,3.88,3.92,33125000,3.92
2016-03-21,3.93,3.97,3.89,3.91,29018900,3.91
2016-03-18,3.96,3.97,3.91,3.95,32090600,3.95
2016-03-17,3.93,3.97,3.92,3.94,23725000,3.94
2016-03-16,3.87,3.95,3.87,3.95,29887500,3.95
2016-03-15,3.89,3.92,3.86,3.90,21278000,3.90
2016-03-14,3.89,3.94,3.87,3.92,33659200,3.92
2016-03-11,3.90,3.93,3.88,3.91,53622800,3.91
2016-03-10,3.96,3.97,3.83,3.88,47536100,3.88
2016-03-09,3.90,3.97,3.89,3.95,29305400,3.95
2016-03-08,3.87,3.92,3.86,3.88,36526600,3.88
