Date,Open,High,Low,Close,Volume,Adj Close
2016-05-12,3.07,3.32,2.97,3.06,43671800,3.06
2016-05-11,3.00,3.20,2.88,3.15,41377100,3.15
2016-05-10,3.13,3.14,2.96,2.97,39678600,2.97
2016-05-09,3.38,3.40,3.15,3.28,30375200,3.28
2016-05-06,3.79,3.80,3.41,3.45,39162400,3.45
2016-05-05,3.62,3.87,3.59,3.75,29552300,3.75
2016-05-04,3.85,3.91,3.71,3.77,39223600,3.77
2016-05-03,3.58,3.82,3.55,3.67,41927000,3.67
2016-05-02,3.70,3.77,3.33,3.40,37350500,3.40
2016-04-29,3.68,4.15,3.59,3.83,74511400,3.83
2016-04-28,3.34,3.65,3.15,3.62,46552500,3.62
2016-04-27,3.58,3.60,3.20,3.23,43414300,3.23
2016-04-26,3.55,3.59,3.44,3.47,23841300,3.47
2016-04-25,3.65,3.77,3.59,3.61,30583900,3.61
2016-04-22,3.80,3.84,3.52,3.54,36818500,3.54
2016-04-21,3.65,3.83,3.60,3.72,38883500,3.72
2016-04-20,3.51,3.65,3.42,3.58,40518300,3.58
2016-04-19,3.48,3.73,3.37,3.55,38918400,3.55
2016-04-18,4.11,4.11,3.50,3.50,50512200,3.50
2016-04-15,4.12,4.18,3.99,3.99,38113000,3.99
2016-04-14,4.15,4.26,4.02,4.13,36194800,4.13
2016-04-13,4.37,4.40,4.15,4.16,44165300,4.16
2016-04-12,4.85,5.08,4.48,4.55,49627800,4.55
2016-04-11,4.57,4.86,4.49,4.86,30947600,4.86
2016-04-08,4.61,4.90,4.45,4.71,38933000,4.71
2016-04-07,4.45,5.15,4.37,4.96,38931100,4.96
2016-04-06,4.76,4.84,4.25,4.26,34892200,4.26
2016-04-05,4.68,4.85,4.55,4.80,39900300,4.80
2016-04-04,4.18,4.39,4.11,4.36,36973600,4.36
2016-04-01,4.65,4.71,4.16,4.19,45037400,4.19
2016-03-31,4.43,4.52,4.26,4.39,34410300,4.39
2016-03-30,4.46,4.60,4.26,4.35,31867800,4.35
2016-03-29,5.14,5.23,4.57,4.60,41314400,4.60
2016-03-28,5.12,5.29,4.95,5.08,25919000,5.08
2016-03-24,5.60,5.68,5.18,5.21,37052300,5.21
2016-03-23,4.91,5.30,4.90,5.24,33194300,5.24
2016-03-22,5.07,5.10,4.75,4.81,30367000,4.81
2016-03-21,5.45,5.47,4.96,4.98,62518300,4.98
2016-03-18,5.39,5.60,5.28,5.45,42429500,5.45
2016-03-17,5.82,5.89,5.41,5.48,36438800,5.48
2016-03-16,6.34,6.34,5.73,5.80,39038000,5.80
2016-03-15,6.37,6.40,6.16,6.18,18361400,6.18
2016-03-14,6.31,6.40,5.99,6.06,25486100,6.06
2016-03-11,6.54,6.61,6.24,6.25,39789600,6.25
2016-03-10,6.88,7.46,6.46,6.85,41245800,6.85
2016-03-09,7.11,7.38,7.01,7.07,23332300,7.07
2016-03-08,7.08,7.29,6.86,7.25,27433300,7.25
2016-03-07,7.02,7.10,6.50,6.78,25415100,6.78
2016-03-04,6.41,6.91,6.34,6.76,26877300,6.76
2016-03-03,7.14,7.25,6.50,6.61,28593600,6.61
2016-03-02,7.38,7.59,7.03,7.03,21388800,7.03
2016-03-01,8.37,8.54,7.35,7.36,31018900,7.36
2016-02-29,8.45,8.82,8.00,8.77,24386300,8.77
2016-02-26,8.05,8.70,7.97,8.51,30602500,8.51
2016-02-25,8.77,9.12,8.29,8.31,24964500,8.31
2016-02-24,9.75,10.06,8.81,8.89,39495400,8.89
2016-02-23,8.40,9.07,8.31,9.01,21965200,9.01
2016-02-22,8.72,8.77,8.16,8.18,22908000,8.18
2016-02-19,10.09,10.25,9.20,9.23,28248200,9.23
2016-02-18,9.65,10.05,9.44,9.73,25582200,9.73
2016-02-17,10.10,10.30,9.67,9.77,24826100,9.77
2016-02-16,10.91,11.28,10.53,10.62,22687000,10.62
2016-02-12,11.99,12.57,11.62,11.67,27239100,11.67
2016-02-11,12.87,13.58,12.19,12.74,51762700,12.74
2016-02-10,10.75,11.37,10.35,11.34,37250400,11.34
2016-02-09,11.85,11.94,10.73,11.18,41611300,11.18
2016-02-08,10.77,11.81,10.57,10.97,38749400,10.97
2016-02-05,9.26,10.34,9.24,10.03,37160100,10.03
2016-02-04,9.37,9.56,8.86,9.28,30340600,9.28
2016-02-03,9.02,10.38,8.99,9.10,48810200,9.10
2016-02-02,8.76,9.46,8.73,9.32,39333700,9.32
2016-02-01,8.55,8.81,8.04,8.24,30645400,8.24
2016-01-29,9.08,9.18,8.41,8.45,35477300,8.45
2016-01-28,9.22,10.08,9.07,9.20,47164800,9.20
2016-01-27,9.34,10.12,8.73,9.85,43484300,9.85
2016-01-26,9.80,10.06,9.09,9.11,34174100,9.11
2016-01-25,9.41,10.15,9.12,10.07,33146900,10.07
2016-01-22,9.98,10.24,9.15,9.16,36969500,9.16
2016-01-21,10.91,11.99,10.28,11.02,67414800,11.02
2016-01-20,11.28,12.91,10.65,11.09,86986000,11.09
2016-01-19,9.80,11.56,9.77,10.58,59770700,10.58
2016-01-15,10.75,11.25,10.04,10.58,57130900,10.58
2016-01-14,9.34,10.24,8.33,8.79,64489600,8.79
